날짜,시도지역코드,발생건수(건)
20140117,울산,11160
20140117,경기,105986
20140117,강원,11336
20140117,충북,12810
20140117,충남,19227
20140117,전북,19759
20140117,전남,18155
20140117,경북,22365
20140117,경남,28466
20140117,제주,6650
20140117,전국,446309
20140118,서울,79467
20140118,부산,29118
20140118,대구,19904
20140118,인천,23582
20140118,광주,12931
20140118,대전,13429
20140118,울산,10437
20140118,경기,102800
20140118,강원,9463
20140118,충북,11600
20140118,충남,16817
20140118,전북,16359
20140118,전남,15500
20140118,경북,18973
20140118,경남,24973
20140118,제주,5724
20140118,전국,411233
20140119,서울,9770
20140119,부산,4792
20140119,대구,2977
20140119,인천,5313
20140119,광주,2864
20140119,대전,3558
20140119,울산,2487
20140119,경기,23030
20140119,강원,1637
20140119,충북,3098
20140119,충남,3806
20140119,전북,3551
20140119,전남,4341
20140119,경북,3197
20140119,경남,4519
20140119,제주,2308
20140119,전국,81285
20140120,서울,119605
20140120,부산,45406
20140120,대구,29198
20140120,인천,33944
20140120,광주,19639
20140120,대전,18329
20140120,울산,16232
20140120,경기,147363
20140120,강원,15541
20140120,충북,17443
20140120,충남,27041
20140120,전북,27629
20140120,전남,25913
20140120,경북,31676
20140120,경남,41319
20140120,제주,9455
20140120,전국,625999
20140121,서울,88186
20140121,부산,31812
20140121,대구,20470
20140121,인천,26143
20140121,광주,12512
20140121,대전,13396
20140121,울산,11662
20140121,경기,112403
20140121,강원,10363
20140121,충북,12810
20140121,충남,18921
20140121,전북,17081
20140121,전남,17166
20140121,경북,22506
20140121,경남,28720
20140121,제주,6589
20140121,전국,450930
20140122,서울,92010
20140122,부산,32448
20140122,대구,20627
20140122,인천,27134
20140122,광주,13618
20140122,대전,14384
20140122,울산,12031
20140122,경기,114796
20140122,강원,11210
20140122,충북,13771
20140122,충남,19828
20140122,전북,19008
20140122,전남,18882
20140122,경북,23321
20140122,경남,28878
20140122,제주,7111
20140122,전국,469262
20140123,서울,95412
20140123,부산,34357
20140123,대구,21804
20140123,인천,27702
20140123,광주,14379
20140123,대전,14620
20140123,울산,12424
20140123,경기,120768
20140123,강원,12211
20140123,충북,14321
20140123,충남,20798
20140123,전북,19495
20140123,전남,19313
20140123,경북,24641
20140123,경남,30466
20140123,제주,7131
20140123,전국,490062
20140124,서울,105379
20140124,부산,36178
20140124,대구,22991
20140124,인천,29674
20140124,광주,15001
20140124,대전,15223
20140124,울산,12990
20140124,경기,128608
20140124,강원,13597
20140124,충북,15343
20140124,충남,22395
20140124,전북,20778
20140124,전남,20086
20140124,경북,25853
20140124,경남,31702
20140124,제주,7604
20140124,전국,523593
20140125,서울,93775
20140125,부산,32292
20140125,대구,21855
20140125,인천,28175
20140125,광주,13596
20140125,대전,15468
20140125,울산,11851
20140125,경기,120243
20140125,강원,11087
20140125,충북,13611
20140125,충남,18980
20140125,전북,17043
20140125,전남,16821
20140125,경북,21606
20140125,경남,27449
20140125,제주,6626
20140125,전국,470686
20140126,서울,10919
20140126,부산,4759
20140126,대구,3149
20140126,인천,5337
20140126,광주,3318
20140126,대전,4124
20140126,울산,2940
20140126,경기,25770
20140126,강원,1719
20140126,충북,3799
20140126,충남,4107
20140126,전북,3619
20140126,전남,4748
20140126,경북,3630
20140126,경남,4983
20140126,제주,2661
20140126,전국,89631
20140127,서울,157772
20140127,부산,52202
20140127,대구,34413
20140127,인천,46258
20140127,광주,21582
20140127,대전,22541
20140127,울산,18945
20140127,경기,196820
20140127,강원,19967
20140127,충북,22050
20140127,충남,33367
20140127,전북,29622
20140127,전남,28946
20140127,경북,38080
20140127,경남,46357
20140127,제주,10156
20140127,전국,779400
20140128,서울,123011
20140128,부산,41180
20140128,대구,27756
20140128,인천,35944
20140128,광주,17508
20140128,대전,18295
20140128,울산,15064
20140128,경기,154474
20140128,강원,16038
20140128,충북,18246
20140128,충남,26724
20140128,전북,23087
20140128,전남,23660
20140128,경북,30884
20140128,경남,37322
20140128,제주,8328
20140128,전국,617776
20140129,서울,175329
20140129,부산,56224
20140129,대구,37320
20140129,인천,50244
20140129,광주,22239
20140129,대전,24737
20140129,울산,20656
20140129,경기,213197
20140129,강원,20217
20140129,충북,22290
20140129,충남,33706
20140129,전북,29201
20140129,전남,28572
20140129,경북,39616
20140129,경남,47925
20140129,제주,9926
20140129,전국,831722
20140130,서울,25001
20140130,부산,11550
20140130,대구,11191
20140130,인천,9843
20140130,광주,6283
20140130,대전,8109
20140130,울산,4414
20140130,경기,41905
20140130,강원,4642
20140130,충북,6891
20140130,충남,9048
20140130,전북,8564
20140130,전남,9229
20140130,경북,10278
20140130,경남,11476
20140130,제주,4106
20140130,전국,182620
20140131,서울,9286
20140131,부산,2732
20140131,대구,1743
20140131,인천,2989
20140131,광주,2086
20140131,대전,3191
20140131,울산,1207
20140131,경기,13570
20140131,강원,1257
20140131,충북,2779
20140131,충남,2547
20140131,전북,2463
20140131,전남,2917
20140131,경북,2300
20140131,경남,3679
20140131,제주,1584
20140131,전국,56356
20140201,서울,25332
20140201,부산,7620
20140201,대구,6510
20140201,인천,9815
20140201,광주,5548
20140201,대전,7304
20140201,울산,3519
20140201,경기,42474
20140201,강원,3614
20140201,충북,6402
20140201,충남,7854
20140201,전북,6701
20140201,전남,7375
20140201,경북,6483
20140201,경남,9131
20140201,제주,3247
20140201,전국,159001
20140202,서울,20208
20140202,부산,8240
20140202,대구,5566
20140202,인천,9894
20140202,광주,4325
20140202,대전,6605
20140202,울산,3935
20140202,경기,40906
20140202,강원,2990
20140202,충북,5885
20140202,충남,6346
20140202,전북,5107
20140202,전남,6438
20140202,경북,6048
20140202,경남,7835
20140202,제주,2965
20140202,전국,143359
20140203,서울,205089
20140203,부산,60978
20140203,대구,43947
20140203,인천,58952
20140203,광주,24886
20140203,대전,30163
20140203,울산,22375
20140203,경기,248069
20140203,강원,25836
20140203,충북,28457
20140203,충남,42612
20140203,전북,34298
20140203,전남,33157
20140203,경북,48587
20140203,경남,56956
20140203,제주,10750
20140203,전국,975512
20140204,서울,110614
20140204,부산,35972
20140204,대구,26568
20140204,인천,33435
20140204,광주,14925
20140204,대전,18739
20140204,울산,13105
20140204,경기,138784
20140204,강원,15808
20140204,충북,18093
20140204,충남,25431
20140204,전북,20997
20140204,전남,20626
20140204,경북,29094
20140204,경남,32848
20140204,제주,6926
20140204,전국,562154
20140205,서울,120122
20140205,부산,38345
20140205,대구,27860
20140205,인천,35226
20140205,광주,15373
20140205,대전,19792
20140205,울산,13905
20140205,경기,147832
20140205,강원,15515
20140205,충북,18687
20140205,충남,25927
20140205,전북,21645
20140205,전남,21197
20140205,경북,30008
20140205,경남,34682
20140205,제주,6926
20140205,전국,593241
20140206,서울,123332
20140206,부산,38752
20140206,대구,29515
20140206,인천,37494
20140206,광주,16200
20140206,대전,20865
20140206,울산,13712
20140206,경기,156558
20140206,강원,16869
20140206,충북,19786
20140206,충남,28119
20140206,전북,23095
20140206,전남,20447
20140206,경북,31876
20140206,경남,35656
20140206,제주,6792
20140206,전국,619306
20140207,서울,126587
20140207,부산,37908
20140207,대구,29830
20140207,인천,37462
20140207,광주,16021
20140207,대전,21259
20140207,울산,13504
20140207,경기,158041
20140207,강원,15690
20140207,충북,20050
20140207,충남,28432
20140207,전북,23788
20140207,전남,22180
20140207,경북,31515
20140207,경남,35565
20140207,제주,7173
20140207,전국,625263
20140208,서울,114527
20140208,부산,36562
20140208,대구,29237
20140208,인천,35114
20140208,광주,15403
20140208,대전,21232
20140208,울산,12936
20140208,경기,147803
20140208,강원,12706
20140208,충북,18211
20140208,충남,25132
20140208,전북,19999
20140208,전남,18740
20140208,경북,26780
20140208,경남,32855
20140208,제주,5727
20140208,전국,573175
20140209,서울,12486
20140209,부산,5130
20140209,대구,4257
20140209,인천,6266
20140209,광주,3487
20140209,대전,5811
20140209,울산,3124
20140209,경기,30540
20140209,강원,2036
20140209,충북,5172
20140209,충남,5738
20140209,전북,4238
20140209,전남,5421
20140209,경북,4625
20140209,경남,5771
20140209,제주,2406
20140209,전국,106554
20140210,서울,169835
20140210,부산,49869
20140210,대구,43199
20140210,인천,53642
20140210,광주,22713
20140210,대전,29562
20140210,울산,14079
20140210,경기,221963
20140210,강원,20079
20140210,충북,27346
20140210,충남,39926
20140210,전북,32722
20140210,전남,30026
20140210,경북,40391
20140210,경남,51661
20140210,제주,8721
20140210,전국,856046
20140211,서울,112013
20140211,부산,36047
20140211,대구,29311
20140211,인천,35766
20140211,광주,16059
20140211,대전,20843
20140211,울산,12429
20140211,경기,152793
20140211,강원,15241
20140211,충북,20155
20140211,충남,28078
20140211,전북,22939
20140211,전남,21386
20140211,경북,30199
20140211,경남,36505
20140211,제주,6582
20140211,전국,596561
20140212,서울,111732
