전국,95922,2141,1781,1458,1228,1100,1015,768,1013,912,970,807,1023,1122,1254,1521,1741,2261,2320,2834,2841,3172,3027,2924,2529,2097,2393,2110,1963,2121,1982,1653,1598,1101,1172,966,1021,1065,1177,1013,1233,1095,1520,1507,1910,2197,2665,2668,3288,3205,3458,3191,
서울,10867,318,208,222,168,136,132,107,149,103,123,96,132,132,118,172,153,197,203,267,224,262,262,289,250,226,264,213,207,199,240,210,217,128,145,129,143,121,140,109,149,155,203,208,271,262,385,351,383,387,354,370,
부산,5138,60,86,59,78,66,54,37,44,65,36,66,43,79,48,121,95,155,177,150,204,179,127,135,126,102,130,107,180,120,148,88,111,69,80,45,52,57,61,49,65,42,111,70,101,90,117,96,155,130,175,136,
대구,4566,109,80,72,53,98,59,38,52,61,66,40,50,57,51,68,73,87,109,151,144,223,151,200,133,122,150,110,116,101,110,79,67,43,55,40,39,44,60,44,44,42,51,45,70,111,79,118,110,117,127,133,
인천,4351,141,107,88,60,58,60,60,46,49,54,41,52,47,62,57,64,85,70,93,84,96,131,86,98,86,86,57,62,85,92,70,85,59,71,45,51,49,48,45,59,47,60,102,102,124,138,158,156,192,149,164,
광주,4114,93,90,57,44,42,36,24,44,27,53,27,45,38,46,42,43,62,70,74,96,78,105,78,85,70,74,79,71,98,72,57,59,50,42,50,26,71,78,50,70,41,62,99,80,158,115,195,145,209,174,213,
대전,2167,49,60,37,35,31,30,33,29,35,29,23,35,41,33,40,68,51,98,71,78,73,64,75,52,53,42,56,25,40,24,28,36,23,25,25,12,23,24,14,19,23,28,28,31,44,41,52,58,64,54,46,
울산,2536,46,49,33,50,34,43,43,39,72,48,59,39,43,72,47,78,95,87,94,77,98,84,90,63,64,83,61,61,41,34,35,21,43,25,24,20,23,14,26,18,24,42,21,33,19,38,27,46,43,44,81,
경기,27000,669,533,403,366,268,267,175,277,220,251,189,254,278,320,424,461,607,634,761,788,921,968,804,775,564,690,649,566,639,545,537,435,323,297,284,288,329,299,319,357,320,492,409,608,566,706,740,981,918,982,832,
강원,2306,61,37,54,17,33,23,20,25,19,29,18,36,20,57,42,109,66,78,102,78,81,98,77,65,50,78,43,40,39,34,28,28,25,32,50,21,29,24,31,24,27,28,32,27,47,41,37,44,54,47,53,
충북,3196,75,65,56,47,49,28,25,40,23,19,23,26,27,31,58,64,108,86,162,108,185,102,182,93,94,87,100,59,118,79,69,48,36,31,13,24,24,41,26,47,33,49,40,44,64,52,59,48,50,74,44,
충남,3161,97,69,58,43,38,46,28,51,41,35,38,53,49,59,31,73,48,75,79,79,98,58,102,54,60,53,29,58,50,64,45,47,26,38,46,19,28,36,27,47,30,46,57,57,90,115,87,136,87,145,118,
전북,4288,78,79,59,33,25,24,22,22,20,33,11,55,58,66,96,61,108,112,123,161,158,131,134,131,116,110,118,93,74,82,55,79,47,64,39,33,54,28,43,37,41,64,45,75,123,135,142,172,118,203,142,
전남,3868,82,60,71,67,34,44,33,52,28,30,24,34,36,37,46,43,120,73,99,84,86,107,97,94,79,71,71,51,92,65,48,70,39,43,30,35,40,54,30,56,46,58,75,108,91,136,115,179,179,208,178,
경북,4637,92,68,65,46,54,44,46,46,52,38,41,40,54,40,67,61,134,86,204,135,159,138,130,102,98,106,91,81,122,103,86,85,49,59,40,62,57,72,67,63,79,68,94,88,146,138,144,157,136,140,125,
경남,9050,115,108,69,67,73,58,48,46,55,74,55,80,73,136,114,188,215,241,258,351,293,323,268,245,179,238,174,183,182,205,145,142,82,83,64,111,84,115,85,110,99,98,128,158,197,338,257,409,379,466,422,
제주,3222,53,74,47,45,45,57,25,45,39,43,44,45,56,71,56,97,80,108,91,124,106,119,119,107,94,78,94,55,97,39,53,49,40,57,26,54,19,53,38,36,27,30,39,36,47,51,54,73,89,64,87,
세종,1455,3,8,8,9,16,10,4,6,3,9,12,4,34,7,40,10,43,13,55,26,76,59,58,56,40,53,58,55,24,46,20,19,19,25,16,31,13,30,10,32,19,30,15,21,18,40,36,36,53,52,47,
