지점,일시,평균기온(°C),최저기온(°C),최고기온(°C),최소 상대습도(%),최저기온위험지수,일교차위험지수,습도위험지수
90,2017-01-01,6,1.5,9.8,30,,,
90,2017-01-02,8.2,4.7,10.5,32.8,,,
90,2017-01-03,6.2,1.7,11.3,16,,,
90,2017-01-04,5.6,1.7,9.8,28.1,,,
90,2017-01-05,2.8,1.3,4,50,,,
90,2017-01-06,4.5,1.6,9.2,58.2,,,
90,2017-01-07,6.5,0.8,11.3,45,,,
90,2017-01-08,5,4,6.6,85,,,
90,2017-01-09,5.7,2,9.4,18,,,
90,2017-01-10,0.4,-2.9,6.2,13,,,
90,2017-01-11,-1.2,-5.3,2.8,15,,,
90,2017-01-12,0.8,-2.6,4.6,15.3,,,
90,2017-01-13,-2.7,-5.5,1.2,17,,,
90,2017-01-14,-6.2,-8.4,-3,15,,,
90,2017-01-15,-2.1,-8.8,3.6,15.8,,,
90,2017-01-16,-0.5,-2.8,3.2,27.8,,,
90,2017-01-17,1.5,-2.9,6.8,17,,,
90,2017-01-18,1.9,-1.6,6,16,,,
90,2017-01-19,1.3,-3.1,6.4,40.3,,,
90,2017-01-20,-2,-5.6,1.3,43.9,,,
90,2017-01-21,-3.6,-8.9,0.2,44,,,
90,2017-01-22,-5.3,-9.4,-1.3,24,,,
90,2017-01-23,-6.1,-11.2,-1,27.7,,,
90,2017-01-24,-4.2,-7.8,1.2,21,,,
90,2017-01-25,-2.1,-9.1,3.8,16,,,
90,2017-01-26,2.2,-6.8,7.3,21,,,
90,2017-01-27,2.3,-2.6,6.5,17.4,,,
90,2017-01-28,1.9,-3.9,6.4,21.6,,,
90,2017-01-29,3,0.6,5.7,37,,,
90,2017-01-30,-1.3,-6.5,2.7,46,,,
90,2017-01-31,-2.6,-7.6,3.5,24.7,,,
90,2017-02-01,0,-3.4,4.2,23.7,,,
90,2017-02-02,2.3,-5.2,6.6,15.6,,,
90,2017-02-03,4.1,-0.3,9.3,22.9,,,
90,2017-02-04,6,-0.7,10.6,22,,,
