전국,55432,1732,1927,1378,1257,1074,852,728,744,654,637,583,596,782,713,893,915,1080,1017,1033,1411,1167,1497,1267,1194,1223,1012,829,891,882,719,652,649,577,507,456,389,532,449,638,553,662,708,749,1242,986,1688,1738,2104,1910,1869,2100,1827,
서울,6456,236,246,158,159,113,108,88,93,73,62,47,55,97,89,72,108,89,128,100,161,113,188,156,133,119,116,81,112,125,89,93,82,80,64,61,45,59,44,69,67,73,73,91,155,162,246,241,274,215,178,222,146,
부산,3287,121,113,109,63,80,50,78,74,59,59,45,42,48,56,68,50,76,58,69,84,86,107,105,64,85,93,42,53,46,47,33,35,31,13,19,20,43,21,25,35,22,32,55,40,52,51,94,61,102,69,124,96,
대구,2833,99,58,93,58,73,25,43,30,23,29,34,28,41,23,50,46,66,44,49,69,75,50,85,51,87,53,52,54,26,45,28,44,23,26,17,18,24,27,44,26,37,42,25,43,50,51,102,99,105,101,112,111,
인천,2681,96,100,57,67,50,35,28,34,27,26,28,20,36,37,32,54,49,55,51,52,54,49,53,31,38,33,35,44,39,21,37,29,40,29,28,27,22,26,35,41,52,38,42,74,36,93,102,124,96,78,131,90,
광주,1554,26,37,28,30,25,28,15,21,20,19,16,10,19,14,29,22,25,19,17,35,26,33,24,46,21,27,21,40,31,37,33,34,28,13,23,14,19,14,22,14,13,31,22,51,21,52,41,42,50,66,70,77,
대전,1847,56,67,76,44,57,34,24,28,28,25,20,22,24,39,19,68,61,52,61,60,60,45,58,38,61,25,39,12,41,18,24,21,21,26,26,4,42,16,27,16,40,19,27,29,19,32,31,27,27,34,25,25,
울산,1776,52,40,53,44,54,31,27,10,17,25,23,14,26,15,38,27,29,37,30,39,24,37,35,30,15,27,34,22,35,23,39,29,31,25,25,18,24,16,52,18,44,26,27,42,41,41,57,58,36,61,37,76,
경기,15261,527,578,366,346,283,222,150,195,158,161,138,187,184,213,240,241,288,244,266,401,293,389,317,352,350,267,230,221,236,187,128,176,147,139,104,115,119,97,163,126,169,194,209,384,261,539,441,685,581,627,559,540,
강원,2008,40,76,37,45,41,38,27,26,35,18,25,19,34,19,40,25,49,31,44,48,39,86,46,59,49,38,29,45,29,36,19,37,13,34,23,16,16,14,12,6,16,32,22,75,37,74,48,62,51,46,79,44,
충북,1255,19,51,35,25,17,12,7,20,15,11,15,18,12,17,15,18,20,22,34,26,30,26,39,25,30,28,20,35,19,20,12,8,10,9,4,8,7,16,8,6,12,22,10,29,25,50,41,59,47,54,44,62,
충남,2062,83,62,54,41,39,30,25,27,29,24,35,23,38,20,37,29,21,48,41,50,34,73,39,72,42,48,30,25,31,22,20,16,14,22,12,20,24,20,25,18,15,19,29,26,27,36,54,88,86,68,99,85,
전북,2066,47,49,36,46,37,53,27,30,24,24,19,22,14,22,21,17,31,43,34,50,49,52,19,38,44,33,28,47,30,33,20,13,30,16,14,16,27,25,33,41,32,36,28,51,45,92,84,68,79,83,88,50,
전남,2518,92,98,75,47,55,34,51,34,39,35,22,18,30,34,31,21,32,27,31,29,61,58,62,50,45,65,39,45,37,36,29,38,18,21,22,12,17,26,21,27,19,31,27,69,28,62,83,88,115,106,133,105,
경북,3140,35,65,37,40,28,36,25,33,28,40,56,34,93,26,98,45,88,48,75,64,77,60,71,53,83,31,38,41,45,35,54,30,35,25,30,25,33,36,40,36,41,46,51,72,88,112,141,137,143,100,127,118,
경남,4777,124,208,110,167,75,85,83,55,63,45,45,46,55,58,75,112,124,135,100,200,92,189,104,112,103,111,87,67,80,45,54,46,46,28,35,23,40,40,37,57,58,50,57,60,66,103,112,161,122,135,172,144,
제주,1367,75,56,47,21,44,26,27,32,12,29,14,36,26,28,26,28,24,24,28,37,51,53,48,37,48,14,22,20,19,19,23,7,5,14,7,6,11,9,17,14,13,7,9,23,12,21,32,38,18,35,27,27,
세종,544,4,23,7,14,3,5,3,2,4,5,1,2,5,3,2,4,8,2,3,6,3,2,6,3,3,3,2,8,13,6,6,4,5,3,6,2,5,2,8,5,6,10,18,19,16,33,34,33,37,28,51,31,
