지점,일시,평균기온(°C),최저기온(°C),최고기온(°C),최소 상대습도(%),최저기온위험지수,일교차위험지수,습도위험지수
90,2018-01-01,1,-3.2,4.2,16,,,
90,2018-01-02,1.5,-2.1,5.6,15,,,
90,2018-01-03,-1.6,-5.5,3.3,21,,,
90,2018-01-04,-1,-5.7,2.2,30,,,
90,2018-01-05,1.5,-1.4,7.2,15,,,
90,2018-01-06,0.8,-2.2,5.9,21,,,
90,2018-01-07,2.2,-2.9,6.6,28,,,
90,2018-01-08,4,-1.2,8.1,36,,,
90,2018-01-09,-3.1,-4.9,-0.4,33,,,
90,2018-01-10,-6.4,-9.8,-3.1,21,,,
90,2018-01-11,-8.6,-11.9,-3.1,21,,,
90,2018-01-12,-7.5,-14.1,-2.4,15,,,
90,2018-01-13,-1.7,-7.4,3,28,,,
90,2018-01-14,2.3,-5.6,6.8,33,,,
90,2018-01-15,7.4,2.9,11.9,21,,,
90,2018-01-16,6.6,3.4,9.4,25,,,
90,2018-01-17,5.1,2.1,6.9,44,,,
90,2018-01-18,5.2,2.5,8,16,,,
90,2018-01-19,3.1,-1.1,7.7,16,,,
90,2018-01-20,4.2,1.2,7,28,,,
90,2018-01-21,2.1,-0.8,5.5,17,,,
90,2018-01-22,0,-2.8,3.1,33,,,
90,2018-01-23,-9,-13.8,-1.7,18,,,
90,2018-01-24,-12.3,-15.9,-8.4,15,,,
90,2018-01-25,-10.8,-16.2,-4.9,18,,,
90,2018-01-26,-10.4,-15.8,-5.2,15,,,
90,2018-01-27,-4.7,-11.3,0.7,17,,,
90,2018-01-28,-2.5,-6.4,1.4,16,,,
90,2018-01-29,-6.7,-10.5,-2.6,15,,,
90,2018-01-30,-3.3,-10.3,1,20,,,
90,2018-01-31,-0.4,-3.2,2.1,19,,,
90,2018-02-01,-2.7,-6.9,1.9,25,,,
90,2018-02-02,-0.5,-5.4,3.2,31,,,
90,2018-02-03,-3.4,-7.8,0.3,17,,,
90,2018-02-04,-6.5,-9.4,-2,17,,,
90,2018-02-05,-8,-11.7,-3.4,16,,,
90,2018-02-06,-8.8,-13.2,-3.5,18,,,
90,2018-02-07,-5.2,-11.3,0.2,14,,,
90,2018-02-08,-1.4,-7.4,3.5,10,,,
90,2018-02-09,2.9,-4.1,8.6,27,,,
90,2018-02-10,2.6,-5.7,8,12,,,
90,2018-02-11,-5.3,-8.4,-2.4,13,,,
90,2018-02-12,-4.9,-9.1,-0.7,17,,,
90,2018-02-13,0.1,-6.7,4.3,22,,,
90,2018-02-14,6.5,2.7,10.5,14,,,
90,2018-02-15,0,-3.9,5,17,,,
90,2018-02-16,1.8,-5.5,7.6,9,,,
90,2018-02-17,-0.5,-3.3,1.8,11,,,
90,2018-02-18,0.1,-3.2,3.5,15,,,
90,2018-02-19,2.8,-1.8,6.7,26,,,
90,2018-02-20,2.9,-1.4,7.4,16,,,
90,2018-02-21,-1.1,-3.9,2.4,18,,,
90,2018-02-22,2.5,-3.1,7.5,21,,,
90,2018-02-23,4.8,0.4,8.1,23,,,
90,2018-02-24,0.3,-1.1,7.6,38,,,
90,2018-02-25,0.1,-2,2.5,74,,,
90,2018-02-26,1.6,-1.3,5.1,55,,,
90,2018-02-27,3.3,-2.4,9.6,47,,,
90,2018-02-28,3.1,-0.4,5.2,84,,,
90,2018-03-01,1.1,-2.7,5.3,34,,,
90,2018-03-02,1.9,-6.2,6.6,15,,,
90,2018-03-03,9.2,2.2,15.2,19,,,
90,2018-03-04,9.2,4.4,14.3,49,,,
90,2018-03-05,0.3,-2.7,4.4,47,,,
90,2018-03-06,1.1,-3.7,4.7,65,,,
90,2018-03-07,2.5,-0.1,6.4,73,,,
90,2018-03-08,1.6,-0.2,3.4,74,,,
90,2018-03-09,1,-0.7,2.3,70,,,
90,2018-03-10,4.9,-2.2,9.9,35,,,
90,2018-03-11,4.9,0.9,7.6,38,,,
90,2018-03-12,8.1,0,14.2,41,,,
90,2018-03-13,17.4,10.7,22.4,8,,,
90,2018-03-14,16.5,11.2,19.7,33,,,
90,2018-03-15,13,2.2,22.6,47,,,
90,2018-03-16,1.4,-1.9,3.1,49,,,
90,2018-03-17,4.1,-3.6,9,49,,,
90,2018-03-18,8.2,4.6,10.7,41,,,
90,2018-03-19,6.6,4.9,8.4,48,,,
90,2018-03-20,2.4,0.6,5,47,,,
90,2018-03-21,1.6,0.6,3,57,,,
90,2018-03-22,3.1,-1.2,8.9,33,,,
90,2018-03-23,7.4,-1,11.6,26,,,
90,2018-03-24,12.9,8.1,18.5,20,,,
90,2018-03-25,17.3,10.3,22.9,16,,,
90,2018-03-26,19,15.2,24.7,21,,,
90,2018-03-27,19.3,11.3,24.7,23,,,
90,2018-03-28,20.1,17.6,23.8,22,,,
90,2018-03-29,11.5,5.7,18.5,40,,,
90,2018-03-30,8.9,4.7,13.9,62,,,
90,2018-03-31,12.7,5.1,20.6,30,,,
90,2018-04-01,17.4,13,22.8,33,,,
90,2018-04-02,16.7,6.4,25.6,33,,,
90,2018-04-03,14.1,7.7,22.6,41,,,
90,2018-04-04,5,3.7,7.7,77,,,
90,2018-04-05,5.2,4.5,5.9,85,,,
90,2018-04-06,6,3.3,11.1,35,,,
90,2018-04-07,5.3,3.7,8.9,16,,,
90,2018-04-08,5.1,2.2,10.4,22,,,
90,2018-04-09,9,2,15.3,23,,,
90,2018-04-10,14.8,4.5,25.5,17,,,
90,2018-04-11,17.1,14,21.4,16,,,
90,2018-04-12,14.2,10.8,21.5,10,,,
90,2018-04-13,11.2,8,14.7,24,,,
90,2018-04-14,7.2,5.1,9.6,72,,,
90,2018-04-15,12,5.3,16.8,36,,,
90,2018-04-16,10.4,5.8,15,35,,,
90,2018-04-17,11.5,4.4,17,44,,,
90,2018-04-18,16.8,9.8,22.6,17,,,
90,2018-04-19,21.4,14.8,26.4,9,,,
90,2018-04-20,16.9,12.4,20.9,28,,,
90,2018-04-21,23,15.6,32.5,9,,,
90,2018-04-22,12.3,7.7,22.8,10,,,
90,2018-04-23,7.6,5.5,9.5,80,,,
90,2018-04-24,8,4.2,10.7,67,,,
90,2018-04-25,10.9,2.5,17.3,23,,,
90,2018-04-26,17.1,6.4,25.8,14,,,
90,2018-04-27,13.2,7.1,18.5,32,,,
90,2018-04-28,19.1,6.1,28.4,17,,,
90,2018-04-29,22.9,16.7,29,11,,,
90,2018-04-30,19.1,12,28.6,22,,,
90,2018-05-01,13.4,9.3,18.4,65,,,
90,2018-05-02,9.7,5.5,13.5,79,,,
90,2018-05-03,11,5.2,15.2,36,,,
90,2018-05-04,18.1,11.8,23.4,15,,,
90,2018-05-05,22.2,16.1,27.1,17,,,
90,2018-05-06,14.6,11.6,21.8,40,,,
90,2018-05-07,13.9,11.7,17.7,77,,,
90,2018-05-08,9.3,8.3,12.1,94,,,
90,2018-05-09,9.3,6.8,11.4,70,,,
90,2018-05-10,14.6,4.5,22.1,37,,,
90,2018-05-11,18,14.6,24.9,28,,,
90,2018-05-12,13.4,11.8,20.1,22,,,
90,2018-05-13,16.5,12.5,20.2,69,,,
90,2018-05-14,20.2,14.1,27.2,38,,,
90,2018-05-15,23.4,19.4,28.4,33,,,
90,2018-05-16,22.8,17.3,29.4,50,,,
90,2018-05-17,16.8,11.4,26.5,72,,,
90,2018-05-18,9.9,8.7,12.1,80,,,
90,2018-05-19,12.2,6.9,17.1,58,,,
90,2018-05-20,12.6,6.4,17.2,63,,,
90,2018-05-21,13.6,8.5,18,61,,,
90,2018-05-22,14.4,9.7,18,75,,,
90,2018-05-23,17,13.6,21.2,43,,,
90,2018-05-24,24.2,15.5,28.7,23,,,
90,2018-05-25,20.9,15.5,26.9,19,,,
90,2018-05-26,14.9,12.6,17.7,74,,,
90,2018-05-27,14.8,13.6,16.8,83,,,
90,2018-05-28,16.1,14.1,20.1,72,,,
90,2018-05-29,16.8,14.7,19.5,80,,,
90,2018-05-30,16.9,15.3,19.7,79,,,
90,2018-05-31,20,13.5,27.8,31,,,
90,2018-06-01,22.7,18.3,26.6,43,,,
90,2018-06-02,24.5,17.4,31.3,35,,,
90,2018-06-03,24.6,18.6,30.3,27,,,
90,2018-06-04,23.6,19.2,29,31,,,
90,2018-06-05,23.7,19.2,28.3,38,,,
90,2018-06-06,23.1,18,28.8,43,,,
90,2018-06-07,25.2,19.3,31.4,35,,,
90,2018-06-08,22,18.5,27.5,36,,,
90,2018-06-09,17.4,16.3,19.3,79,,,
90,2018-06-10,15.9,15,18.2,81,,,
90,2018-06-11,15.7,14.2,17.9,75,,,
90,2018-06-12,16.7,13.7,20.7,58,,,
90,2018-06-13,17.1,14.4,20.1,69,,,
90,2018-06-14,17.4,16.2,18.5,82,,,
90,2018-06-15,16,14.2,18.8,77,,,
90,2018-06-16,16.5,13.5,19.9,62,,,
90,2018-06-17,17.3,13.2,21.3,64,,,
90,2018-06-18,18.4,15.1,21.8,75,,,
90,2018-06-19,20.6,15.2,26,57,,,
90,2018-06-20,21,17.1,27.8,40,,,
90,2018-06-21,23.2,16.7,29.3,32,,,
90,2018-06-22,27.3,21.2,32,25,,,
90,2018-06-23,26,21.9,33.7,28,,,
90,2018-06-24,27.4,21.1,33.9,29,,,
90,2018-06-25,22.2,19.3,27.9,47,,,
90,2018-06-26,19.3,18.5,20.2,90,,,
90,2018-06-27,24.4,18.5,32.5,41,,,
90,2018-06-28,23.9,19.2,29.1,55,,,
90,2018-06-29,22.7,18.6,28.2,59,,,
90,2018-06-30,22.2,20.2,25.5,77,,,
90,2018-07-01,20.7,20.3,22,94,,,
90,2018-07-02,21.6,20.4,24,85,,,
90,2018-07-03,23.4,21.5,27.6,73,,,
90,2018-07-04,21.9,20.2,24.7,82,,,
90,2018-07-05,19.6,19.1,20.4,96,,,
90,2018-07-06,18.3,17.4,19.4,81,,,
90,2018-07-07,16.7,14.8,20,68,,,
90,2018-07-08,17.5,15.1,20.5,63,,,
90,2018-07-09,17.9,16.4,20.2,77,,,
90,2018-07-10,18.7,17.6,19.9,93,,,
90,2018-07-11,19,18.5,19.6,97,,,
90,2018-07-12,26.2,18.9,34,50,,,
90,2018-07-13,28.3,23.9,34.6,47,,,
90,2018-07-14,27.1,24.1,31.8,55,,,
90,2018-07-15,28.8,25.3,33.6,51,,,
90,2018-07-16,28.4,24.9,32.9,48,,,
90,2018-07-17,29.9,23.9,33.7,44,,,
90,2018-07-18,25,22.3,28.4,59,,,
90,2018-07-19,26,21.9,31.3,55,,,
90,2018-07-20,28.1,22.8,34.9,41,,,
90,2018-07-21,29.6,23.7,34.8,43,,,
90,2018-07-22,29.3,23.4,35.4,40,,,
90,2018-07-23,28.8,26,32.1,60,,,
90,2018-07-24,28.5,25.2,33.2,67,,,
90,2018-07-25,29,25.9,32.8,71,,,
90,2018-07-26,30.6,27.2,34.7,56,,,
90,2018-07-27,29.4,25.6,33.4,60,,,
90,2018-07-28,27.9,26.5,30.6,79,,,
90,2018-07-29,27,25.4,28.8,75,,,
90,2018-07-30,25.8,23.5,28.7,78,,,
90,2018-07-31,27.3,23.3,30.9,63,,,
90,2018-08-01,28,24,31.7,75,,,
90,2018-08-02,28.2,25,31.5,72,,,
90,2018-08-03,28.8,25.8,32.1,71,,,
90,2018-08-04,32,27.2,37.3,46,,,
90,2018-08-05,31.2,26,38.7,40,,,
90,2018-08-06,24.5,23.2,26.7,92,,,
90,2018-08-07,25.7,23.1,28.5,76,,,
90,2018-08-08,25.8,24.5,28.1,81,,,
90,2018-08-09,25.1,23.5,27.4,79,,,
90,2018-08-10,24.3,23.3,26.5,86,,,
90,2018-08-11,26.3,23.3,29.9,74,,,
90,2018-08-12,25.9,22.3,29,75,,,
90,2018-08-13,26.5,24.3,29.4,80,,,
90,2018-08-14,28.6,24.9,33.4,61,,,
90,2018-08-15,27.4,25,29.8,81,,,
90,2018-08-16,24.5,19.7,26.8,61,,,
90,2018-08-17,22.8,18.7,26.4,58,,,
90,2018-08-18,23.1,17.2,28,46,,,
90,2018-08-19,23.8,20.2,27.7,68,,,
90,2018-08-20,24.2,20.3,27.9,72,,,
90,2018-08-21,26.9,23.4,31.3,50,,,
90,2018-08-22,25.6,22.4,28.9,58,,,
90,2018-08-23,24.9,22.5,26.8,73,,,
90,2018-08-24,22.8,20.1,24.9,85,,,
90,2018-08-25,24.5,19.7,28,51,,,
90,2018-08-26,25.1,21.7,29.9,45,,,
90,2018-08-27,22.7,19.6,26.2,69,,,
90,2018-08-28,22.3,19,26.1,72,,,
90,2018-08-29,22.1,20,26.7,68,,,
90,2018-08-30,26.4,23.3,31.2,53,,,
90,2018-08-31,24.4,21.5,27.7,58,,,
90,2018-09-01,22.5,20.2,25.6,62,,,
90,2018-09-02,20.7,16.8,24.6,60,,,
90,2018-09-03,20.5,18.9,22.8,78,,,
90,2018-09-04,22.4,19.7,25,54,,,
90,2018-09-05,25.1,21.8,29,30,,,
90,2018-09-06,24.5,19.4,28.3,41,,,
90,2018-09-07,22.5,18.1,26.9,41,,,
90,2018-09-08,20.3,15.9,24.9,38,,,
90,2018-09-09,19.7,15.6,24.7,59,,,
90,2018-09-10,19.8,14.9,23.2,52,,,
90,2018-09-11,18.8,14.1,23.9,58,,,
90,2018-09-12,18.8,15.5,23.1,59,,,
90,2018-09-13,19.3,15.9,23.2,73,,,
90,2018-09-14,20.8,16.7,24,76,,,
90,2018-09-15,21.4,19.2,24.3,74,,,
90,2018-09-16,21.7,20.2,23.4,83,,,
90,2018-09-17,21.6,16.1,24.4,49,,,
90,2018-09-18,20,15.8,23.6,51,,,
90,2018-09-19,20.4,15.4,24.3,66,,,
90,2018-09-20,18.3,16.7,19.8,84,,,
90,2018-09-21,17.6,15.9,18.7,89,,,
90,2018-09-22,22,15.5,26.8,35,,,
90,2018-09-23,19.8,15.3,25.1,30,,,
90,2018-09-24,17.7,13.1,23.2,27,,,
90,2018-09-25,17.9,12.6,21.5,50,,,
90,2018-09-26,17.5,14.1,21.5,45,,,
90,2018-09-27,17.2,13.3,21.6,50,,,
90,2018-09-28,16.4,12.7,20.2,59,,,
90,2018-09-29,17.6,12.8,22.2,64,,,
90,2018-09-30,18.6,14.7,23.7,30,,,
90,2018-10-01,16.4,13.1,19.5,32,,,
90,2018-10-02,16.3,10.5,21.3,42,,,
90,2018-10-03,16.9,12.8,21.9,43,,,
90,2018-10-04,17.2,12.3,20.6,56,,,
90,2018-10-05,15.3,13.6,18.7,75,,,
90,2018-10-06,16,14.3,17.3,86,,,
90,2018-10-07,19,14,23.8,26,,,
90,2018-10-08,15.5,11.1,19.8,20,,,
90,2018-10-09,16.5,11.2,21,36,,,
90,2018-10-10,14.2,9,18.3,32,,,
90,2018-10-11,11.1,7.7,15.4,33,,,
90,2018-10-12,11.3,6.6,16.4,37,,,
90,2018-10-13,13.2,7.6,18.8,47,,,
90,2018-10-14,15.1,7.7,19.8,21,,,
90,2018-10-15,15.7,11.4,21.1,41,,,
90,2018-10-16,14.6,11.3,18.4,56,,,
90,2018-10-17,11.6,10.5,14.6,75,,,
90,2018-10-18,12.2,9.9,14.2,58,,,
90,2018-10-19,12.2,7.2,17.2,51,,,
90,2018-10-20,12.9,6.7,18.5,43,,,
90,2018-10-21,14,8,19.1,37,,,
90,2018-10-22,13.4,8,19.2,52,,,
90,2018-10-23,14,8.8,18.2,42,,,
90,2018-10-24,13.2,9,18.2,35,,,
90,2018-10-25,14.1,8.3,20.4,35,,,
90,2018-10-26,13.6,9.1,18.5,46,,,
90,2018-10-27,10,7.2,13.2,28,,,
90,2018-10-28,8.8,4.7,14.4,40,,,
90,2018-10-29,8.7,5.3,13,30,,,
90,2018-10-30,7.2,0.3,11.7,34,,,
90,2018-10-31,7.3,2.9,12,34,,,
90,2018-11-01,9.7,5.7,15.9,28,,,
90,2018-11-02,11.8,7.3,18.2,35,,,
90,2018-11-03,12.9,7.2,19.1,41,,,
90,2018-11-04,13,6.5,19.2,29,,,
90,2018-11-05,13.2,8.8,16.4,66,,,
90,2018-11-06,13.5,10.7,17.4,68,,,
90,2018-11-07,11,9.9,13.7,84,,,
90,2018-11-08,11.2,10.1,13.8,94,,,
90,2018-11-09,14,11.3,16.7,37,,,
90,2018-11-10,13.5,8.7,17.9,33,,,
90,2018-11-11,10.1,6.3,14,48,,,
90,2018-11-12,8.2,5.5,10.7,41,,,
90,2018-11-13,8.5,6.3,11.1,76,,,
90,2018-11-14,8,4.9,11.8,73,,,
90,2018-11-15,9.6,4,15.5,49,,,
90,2018-11-16,11.5,8.4,14.3,37,,,
90,2018-11-17,8.4,4.3,12.2,50,,,
90,2018-11-18,8.6,4.5,12.3,20,,,
90,2018-11-19,7.4,4.4,12.1,34,,,
90,2018-11-20,8.4,2,13.3,22,,,
90,2018-11-21,8.3,4.4,12.1,28,,,
90,2018-11-22,4,1,8,17,,,
90,2018-11-23,1.9,-1.9,6.2,18,,,
90,2018-11-24,4.2,1.9,6.9,27,,,
90,2018-11-25,8.1,3.3,12,36,,,
90,2018-11-26,8.7,2.6,13.8,27,,,
90,2018-11-27,11.1,5.6,13.8,22,,,
90,2018-11-28,5.9,2.6,10.1,16,,,
90,2018-11-29,6.2,2.2,10.3,24,,,
90,2018-11-30,5.1,0.5,9,20,,,
90,2018-12-01,6.2,2.2,10.2,31,,,
