날짜,시도지역코드,발생건수(건)
20140117,전남,2233
20140117,경북,2951
20140117,경남,3721
20140117,제주,520
20140117,전국,50294
20140118,서울,7706
20140118,부산,2603
20140118,대구,2456
20140118,인천,2448
20140118,광주,1280
20140118,대전,1443
20140118,울산,896
20140118,경기,9555
20140118,강원,1156
20140118,충북,1355
20140118,충남,1773
20140118,전북,1377
20140118,전남,1767
20140118,경북,2367
20140118,경남,3057
20140118,제주,350
20140118,전국,41609
20140119,서울,330
20140119,부산,138
20140119,대구,66
20140119,인천,162
20140119,광주,43
20140119,대전,130
20140119,울산,66
20140119,경기,879
20140119,강원,60
20140119,충북,120
20140119,충남,158
20140119,전북,69
20140119,전남,115
20140119,경북,92
20140119,경남,139
20140119,제주,35
20140119,전국,2603
20140120,서울,10727
20140120,부산,4534
20140120,대구,3815
20140120,인천,3274
20140120,광주,1885
20140120,대전,1957
20140120,울산,1376
20140120,경기,12716
20140120,강원,1872
20140120,충북,1895
20140120,충남,2563
20140120,전북,2310
20140120,전남,2915
20140120,경북,3588
20140120,경남,4660
20140120,제주,647
20140120,전국,60743
20140121,서울,8891
20140121,부산,3374
20140121,대구,2725
20140121,인천,2605
20140121,광주,1262
20140121,대전,1450
20140121,울산,1033
20140121,경기,10439
20140121,강원,1367
20140121,충북,1468
20140121,충남,1814
20140121,전북,1474
20140121,전남,2006
20140121,경북,2786
20140121,경남,3658
20140121,제주,475
20140121,전국,46839
20140122,서울,8576
20140122,부산,3217
20140122,대구,2605
20140122,인천,2668
20140122,광주,1383
20140122,대전,1487
20140122,울산,1024
20140122,경기,10357
20140122,강원,1378
20140122,충북,1526
20140122,충남,2059
20140122,전북,1635
20140122,전남,2242
20140122,경북,2749
20140122,경남,3538
20140122,제주,496
20140122,전국,46955
20140123,서울,8754
20140123,부산,3196
20140123,대구,2454
20140123,인천,2687
20140123,광주,1393
20140123,대전,1517
20140123,울산,1011
20140123,경기,10343
20140123,강원,1411
20140123,충북,1495
20140123,충남,2018
20140123,전북,1691
20140123,전남,2066
20140123,경북,2823
20140123,경남,3428
20140123,제주,476
20140123,전국,46775
20140124,서울,9915
20140124,부산,3539
20140124,대구,2893
20140124,인천,2956
20140124,광주,1509
20140124,대전,1725
20140124,울산,1105
20140124,경기,11497
20140124,강원,1724
20140124,충북,1707
20140124,충남,2268
20140124,전북,1874
20140124,전남,2276
20140124,경북,3022
20140124,경남,3826
20140124,제주,535
20140124,전국,52387
20140125,서울,7975
20140125,부산,2779
20140125,대구,2494
20140125,인천,2385
20140125,광주,1267
20140125,대전,1495
20140125,울산,920
20140125,경기,9516
20140125,강원,1259
20140125,충북,1377
20140125,충남,1917
20140125,전북,1442
20140125,전남,1828
20140125,경북,2378
20140125,경남,3007
20140125,제주,396
20140125,전국,42451
20140126,서울,397
20140126,부산,148
20140126,대구,67
20140126,인천,162
20140126,광주,54
20140126,대전,112
20140126,울산,92
20140126,경기,797
20140126,강원,39
20140126,충북,108
20140126,충남,134
20140126,전북,69
20140126,전남,127
20140126,경북,113
20140126,경남,142
20140126,제주,44
20140126,전국,2607
20140127,서울,12655
20140127,부산,4768
20140127,대구,3962
20140127,인천,3971
20140127,광주,1921
20140127,대전,2164
20140127,울산,1463
20140127,경기,15118
20140127,강원,2298
20140127,충북,2304
20140127,충남,3076
20140127,전북,2518
20140127,전남,3045
20140127,경북,4024
20140127,경남,5047
20140127,제주,657
20140127,전국,69011
20140128,서울,10565
20140128,부산,3885
20140128,대구,3236
20140128,인천,3336
20140128,광주,1631
20140128,대전,1893
20140128,울산,1211
20140128,경기,12608
20140128,강원,1986
20140128,충북,1871
20140128,충남,2530
20140128,전북,1999
20140128,전남,2511
20140128,경북,3341
20140128,경남,4234
20140128,제주,582
20140128,전국,57441
20140129,서울,13135
20140129,부산,4679
20140129,대구,3796
20140129,인천,4087
20140129,광주,1976
20140129,대전,2210
20140129,울산,1538
20140129,경기,15328
20140129,강원,2142
20140129,충북,2072
20140129,충남,2922
20140129,전북,2353
20140129,전남,2896
20140129,경북,3712
20140129,경남,5030
20140129,제주,674
20140129,전국,68572
20140130,서울,657
20140130,부산,368
20140130,대구,472
20140130,인천,259
20140130,광주,221
20140130,대전,253
20140130,울산,93
20140130,경기,1052
20140130,강원,207
20140130,충북,303
20140130,충남,376
20140130,전북,257
20140130,전남,559
20140130,경북,445
20140130,경남,513
20140130,제주,91
20140130,전국,6128
20140131,서울,127
20140131,부산,31
20140131,대구,22
20140131,인천,54
20140131,광주,24
20140131,대전,80
20140131,울산,14
20140131,경기,147
20140131,강원,18
20140131,충북,86
20140131,충남,41
20140131,전북,39
20140131,전남,49
20140131,경북,36
20140131,경남,50
20140131,제주,9
20140131,전국,827
20140201,서울,430
20140201,부산,128
20140201,대구,123
20140201,인천,190
20140201,광주,73
20140201,대전,192
20140201,울산,55
20140201,경기,796
20140201,강원,74
20140201,충북,158
20140201,충남,228
20140201,전북,148
20140201,전남,221
20140201,경북,158
20140201,경남,210
20140201,제주,39
20140201,전국,3223
20140202,서울,456
20140202,부산,178
20140202,대구,84
20140202,인천,214
20140202,광주,46
20140202,대전,138
20140202,울산,87
20140202,경기,882
20140202,강원,60
20140202,충북,159
20140202,충남,194
20140202,전북,76
20140202,전남,139
20140202,경북,135
20140202,경남,152
20140202,제주,24
20140202,전국,3025
20140203,서울,15997
20140203,부산,5844
20140203,대구,4808
20140203,인천,4823
20140203,광주,2616
20140203,대전,2740
20140203,울산,1833
20140203,경기,19069
20140203,강원,2704
20140203,충북,2777
20140203,충남,3754
20140203,전북,2961
20140203,전남,3599
20140203,경북,4774
20140203,경남,6150
20140203,제주,808
20140203,전국,85284
20140204,서울,9616
20140204,부산,3460
20140204,대구,2853
20140204,인천,2980
20140204,광주,1491
20140204,대전,1605
20140204,울산,1100
20140204,경기,11498
20140204,강원,1725
20140204,충북,1567
20140204,충남,2190
20140204,전북,1730
20140204,전남,2249
20140204,경북,2958
20140204,경남,3610
20140204,제주,475
20140204,전국,51117
20140205,서울,9493
20140205,부산,3264
20140205,대구,2702
20140205,인천,2872
20140205,광주,1368
20140205,대전,1674
20140205,울산,1077
20140205,경기,11097
20140205,강원,1572
20140205,충북,1549
20140205,충남,2003
20140205,전북,1618
20140205,전남,2147
20140205,경북,2775
20140205,경남,3538
20140205,제주,468
20140205,전국,49229
20140206,서울,9564
20140206,부산,3173
20140206,대구,2431
20140206,인천,2995
20140206,광주,1461
20140206,대전,1578
20140206,울산,989
20140206,경기,11399
20140206,강원,1533
20140206,충북,1601
20140206,충남,2216
20140206,전북,1774
20140206,전남,1961
20140206,경북,2803
20140206,경남,3375
20140206,제주,429
20140206,전국,49299
20140207,서울,10384
20140207,부산,3209
20140207,대구,2911
20140207,인천,3151
20140207,광주,1600
20140207,대전,1835
20140207,울산,1039
20140207,경기,12078
20140207,강원,1473
20140207,충북,1733
20140207,충남,2260
20140207,전북,1926
20140207,전남,2266
20140207,경북,2777
20140207,경남,3632
20140207,제주,539
20140207,전국,52833
20140208,서울,8593
20140208,부산,2930
20140208,대구,2608
20140208,인천,2726
20140208,광주,1344
20140208,대전,1553
20140208,울산,922
20140208,경기,10255
20140208,강원,1081
20140208,충북,1371
20140208,충남,1945
20140208,전북,1519
20140208,전남,1745
20140208,경북,2540
20140208,경남,3227
20140208,제주,394
20140208,전국,44773
20140209,서울,408
20140209,부산,139
20140209,대구,61
20140209,인천,144
20140209,광주,45
20140209,대전,158
20140209,울산,72
20140209,경기,805
20140209,강원,43
20140209,충북,95
20140209,충남,142
20140209,전북,70
20140209,전남,110
20140209,경북,65
20140209,경남,124
20140209,제주,25
20140209,전국,2506
20140210,서울,12291
20140210,부산,3902
20140210,대구,3467
20140210,인천,3816
20140210,광주,1855
20140210,대전,2102
20140210,울산,861
20140210,경기,14379
20140210,강원,1644
20140210,충북,2143
20140210,충남,2899
20140210,전북,2353
20140210,전남,2914
20140210,경북,3155
20140210,경남,4592
20140210,제주,579
20140210,전국,62975
20140211,서울,9374
20140211,부산,2981
20140211,대구,2782
20140211,인천,2891
20140211,광주,1459
20140211,대전,1646
20140211,울산,927
20140211,경기,11066
20140211,강원,1448
20140211,충북,1575
20140211,충남,2124
20140211,전북,1748
20140211,전남,2061
20140211,경북,2626
20140211,경남,3411
20140211,제주,496
20140211,전국,48630
20140212,서울,8601
20140212,부산,3061
20140212,대구,2441
20140212,인천,2612
20140212,광주,1383
20140212,대전,1538
20140212,울산,948
20140212,경기,10243
20140212,강원,1499
20140212,충북,1429
20140212,충남,1953
20140212,전북,1509
20140212,전남,2041
20140212,경북,2543
20140212,경남,3334
20140212,제주,474
20140212,전국,45622
20140213,서울,8347
20140213,부산,2836
20140213,대구,2228
20140213,인천,2536
20140213,광주,1339
20140213,대전,1390
20140213,울산,896
20140213,경기,9698
20140213,강원,1138
20140213,충북,1319
20140213,충남,1800
20140213,전북,1591
20140213,전남,1968
20140213,경북,2394
20140213,경남,3200
20140213,제주,492
20140213,전국,43189
20140214,서울,9271
20140214,부산,2970
20140214,대구,2521
20140214,인천,2687
20140214,광주,1381
20140214,대전,1579
20140214,울산,908
20140214,경기,10477
20140214,강원,1411
20140214,충북,1493
20140214,충남,2011
20140214,전북,1694
20140214,전남,2139
20140214,경북,2513
20140214,경남,3053
20140214,제주,499
20140214,전국,46618
20140215,서울,7706
20140215,부산,2515
20140215,대구,2322
20140215,인천,2489
20140215,광주,1240
20140215,대전,1399
20140215,울산,855
20140215,경기,9441
20140215,강원,1181
20140215,충북,1389
20140215,충남,1760
20140215,전북,1328
20140215,전남,1692
20140215,경북,2244
20140215,경남,2891
20140215,제주,373
20140215,전국,40841
20140216,서울,420
20140216,부산,162
20140216,대구,50
20140216,인천,177
20140216,광주,39
20140216,대전,117
20140216,울산,76
20140216,경기,822
20140216,강원,33
20140216,충북,109
20140216,충남,158
20140216,전북,51
20140216,전남,86
20140216,경북,93
20140216,경남,106
20140216,제주,38
20140216,전국,2538
20140217,서울,12363
20140217,부산,4162
20140217,대구,3468
20140217,인천,3855
20140217,광주,1925
20140217,대전,2093
20140217,울산,1266
20140217,경기,14874
20140217,강원,2153
20140217,충북,2139
20140217,충남,2815
20140217,전북,2530
20140217,전남,2815
20140217,경북,3765
20140217,경남,4408
20140217,제주,561
20140217,전국,65215
20140218,서울,9551
20140218,부산,3102
20140218,대구,2761
20140218,인천,2910
20140218,광주,1476
20140218,대전,1584
20140218,울산,985
20140218,경기,11336
20140218,강원,1495
20140218,충북,1557
20140218,충남,2123
20140218,전북,1857
20140218,전남,2190
20140218,경북,2738
20140218,경남,3530
20140218,제주,563
20140218,전국,49770
20140219,서울,8704
20140219,부산,2928
20140219,대구,2478
20140219,인천,2674
20140219,광주,1354
20140219,대전,1537
20140219,울산,915
20140219,경기,10372
20140219,강원,1558
20140219,충북,1504
20140219,충남,1974
20140219,전북,1658
20140219,전남,1991
20140219,경북,2607
20140219,경남,3333
20140219,제주,485
20140219,전국,46088
20140220,서울,8439
20140220,부산,2934
20140220,대구,2403
20140220,인천,2649
20140220,광주,1300
20140220,대전,1477
20140220,울산,953
20140220,경기,9953
20140220,강원,1350
20140220,충북,1423
20140220,충남,1914
20140220,전북,1653
20140220,전남,1995
20140220,경북,2566
20140220,경남,3295
20140220,제주,425
20140220,전국,44750
20140221,서울,9465
20140221,부산,3294
20140221,대구,2637
20140221,인천,2817
20140221,광주,1437
20140221,대전,1636
20140221,울산,961
20140221,경기,10741
20140221,강원,1590
20140221,충북,1527
20140221,충남,2197
20140221,전북,1733
20140221,전남,2157
20140221,경북,2885
20140221,경남,3560
20140221,제주,511
20140221,전국,49162
20140222,서울,7648
20140222,부산,2516
20140222,대구,2344
20140222,인천,2390
20140222,광주,1205
20140222,대전,1365
20140222,울산,760
20140222,경기,9285
20140222,강원,1130
20140222,충북,1239
20140222,충남,1739
20140222,전북,1388
20140222,전남,1624
20140222,경북,2281
20140222,경남,2860
20140222,제주,361
20140222,전국,40149
20140223,서울,355
20140223,부산,146
20140223,대구,70
20140223,인천,129
20140223,광주,42
20140223,대전,103
20140223,울산,76
20140223,경기,730
20140223,강원,46
20140223,충북,110
20140223,충남,160
20140223,전북,71
20140223,전남,104
20140223,경북,80
20140223,경남,162
20140223,제주,37
20140223,전국,2422
20140224,서울,12499
20140224,부산,4472
20140224,대구,3733
20140224,인천,3781
20140224,광주,2015
20140224,대전,2335
20140224,울산,1416
20140224,경기,14829
20140224,강원,2236
20140224,충북,2183
20140224,충남,3076
20140224,전북,2562
20140224,전남,3175
20140224,경북,3899
20140224,경남,4709
20140224,제주,721
20140224,전국,67660
20140225,서울,9912
20140225,부산,3550
20140225,대구,2935
20140225,인천,3032
20140225,광주,1519
20140225,대전,1641
20140225,울산,1074
20140225,경기,11107
20140225,강원,1667
20140225,충북,1637
20140225,충남,2223
20140225,전북,1837
20140225,전남,2364
20140225,경북,3111
20140225,경남,3729
20140225,제주,572
20140225,전국,51928
20140226,서울,8865
20140226,부산,2865
20140226,대구,2407
20140226,인천,2774
20140226,광주,1326
20140226,대전,1559
20140226,울산,937
20140226,경기,10900
20140226,강원,1603
20140226,충북,1571
20140226,충남,2121
20140226,전북,1743
20140226,전남,2110
20140226,경북,2667
