전국,44062,1623,1447,1002,938,540,769,591,479,492,444,409,455,507,525,593,766,872,864,995,1231,1247,1345,961,951,788,674,722,589,617,529,465,454,349,364,326,379,361,451,415,422,446,548,594,801,1101,1215,1497,1979,1796,2156,1983,
서울,4569,127,120,68,82,42,79,62,47,36,36,22,32,40,38,72,55,100,71,79,91,99,102,73,76,64,50,58,54,54,54,46,33,55,41,48,43,38,38,29,37,44,75,75,129,141,155,226,312,249,273,249,
부산,3377,151,104,63,71,44,90,66,42,32,26,29,38,34,55,40,78,55,65,78,68,87,106,65,69,75,47,62,56,35,36,28,35,22,31,37,42,33,43,34,23,41,55,36,58,68,103,116,164,127,148,156,
대구,2939,121,140,88,79,49,45,42,34,41,29,23,28,38,39,26,43,73,80,67,52,67,81,51,79,66,62,42,63,43,48,35,45,24,46,22,40,23,40,37,28,25,28,47,32,100,49,116,82,95,94,89,
인천,2527,115,90,67,78,25,45,31,27,36,36,22,24,35,23,39,31,38,49,67,80,66,77,71,79,80,63,48,33,59,36,21,25,20,23,17,22,32,17,25,22,16,38,27,32,76,54,75,69,75,91,99,
광주,939,22,24,25,22,12,17,12,8,10,10,9,10,11,10,10,16,30,20,38,20,27,34,34,27,24,12,12,11,12,10,13,12,4,6,7,5,7,12,8,10,13,13,12,24,32,28,23,38,25,26,45,
대전,1227,31,31,35,20,18,19,19,9,22,13,15,17,15,23,25,23,22,23,31,44,44,33,32,20,21,20,15,13,13,8,16,5,7,16,8,6,4,6,9,5,7,5,17,16,41,32,41,55,40,86,50,
울산,1169,49,29,22,27,14,23,10,17,13,15,6,11,9,11,11,12,14,16,22,28,31,35,20,31,26,17,23,13,26,17,21,15,9,13,14,27,9,27,17,18,12,12,19,13,29,18,32,28,47,39,84,
경기,13437,482,413,307,275,112,193,136,160,142,143,154,153,176,180,192,265,271,277,320,428,431,438,300,259,226,202,205,162,179,160,141,138,95,94,84,91,96,115,126,120,149,147,174,204,299,339,473,582,624,719,627,
강원,2161,50,24,26,29,19,31,22,15,16,11,12,16,17,15,23,55,30,46,29,72,55,41,31,23,20,17,39,22,21,17,17,22,8,12,7,7,18,29,41,49,25,44,39,77,79,154,90,166,70,169,78,
충북,710,35,49,31,24,14,13,15,4,11,9,4,3,5,11,7,7,15,6,14,10,18,11,11,8,16,17,23,11,6,11,7,9,12,4,11,6,6,3,2,5,8,7,12,11,18,18,15,15,46,20,29,
충남,1939,93,82,71,38,46,37,52,16,21,28,17,16,21,24,19,42,37,61,40,94,56,100,50,57,30,32,47,38,29,23,21,17,19,11,24,15,17,30,15,28,20,16,22,28,32,38,33,48,38,52,38,
전북,2281,98,80,63,34,32,34,25,33,25,30,26,16,25,20,25,37,51,22,40,54,68,66,66,57,47,34,23,33,30,28,27,11,12,13,11,12,14,18,14,17,17,29,32,47,28,59,48,170,75,149,123,
전남,2013,66,78,44,41,36,24,32,17,15,12,18,18,14,12,23,26,47,19,50,45,36,39,44,40,17,19,15,12,46,16,23,28,15,25,12,17,19,21,15,19,26,41,29,58,57,63,90,105,110,109,110,
경북,1569,91,74,37,48,24,37,21,20,23,14,16,30,30,26,34,25,25,46,28,41,50,59,37,45,25,25,41,21,24,21,5,13,10,4,7,7,14,11,14,6,12,13,10,20,38,29,38,52,65,44,67,
경남,2349,66,79,37,51,41,70,32,22,36,28,25,33,25,27,33,33,38,43,56,72,76,76,53,49,36,38,28,28,24,31,31,36,23,19,13,31,15,28,21,26,23,21,37,38,59,70,70,77,98,117,110,
제주,823,26,24,16,18,12,12,13,6,12,4,11,9,11,11,14,18,25,20,35,30,36,45,22,32,15,19,40,19,16,12,13,10,14,6,3,8,15,13,8,9,8,3,6,14,4,6,11,15,12,19,27,
세종,33,0,6,2,1,0,0,1,2,1,0,0,1,1,0,0,0,1,0,1,2,0,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,2,
