날짜,지역,발생수
2016-09-16,강원,109
2016-09-17,강원,517
2016-09-18,강원,82
2016-09-19,강원,1371
2016-09-20,강원,956
2016-09-21,강원,837
2016-09-22,강원,843
2016-09-23,강원,875
2016-09-24,강원,596
2016-09-25,강원,50
2016-09-26,강원,1200
2016-09-27,강원,839
2016-09-28,강원,755
2016-09-29,강원,814
2016-09-30,강원,923
2016-10-01,강원,667
2016-10-02,강원,70
2016-10-03,강원,155
2016-10-04,강원,1244
2016-10-05,강원,867
2016-10-06,강원,821
2016-10-07,강원,916
2016-10-08,강원,612
2016-10-09,강원,61
2016-10-10,강원,1241
2016-10-11,강원,986
2016-10-12,강원,870
2016-10-13,강원,776
2016-10-14,강원,954
2016-10-15,강원,613
2016-10-16,강원,82
2016-10-17,강원,1278
2016-10-18,강원,970
2016-10-19,강원,863
2016-10-20,강원,851
2016-10-21,강원,984
2016-10-22,강원,619
2016-10-23,강원,58
2016-10-24,강원,1293
2016-10-25,강원,929
2016-10-26,강원,909
2016-10-27,강원,891
2016-10-28,강원,958
2016-10-29,강원,631
2016-10-30,강원,60
2016-10-31,강원,1310
2016-11-01,강원,968
2016-11-02,강원,869
2016-11-03,강원,972
2016-11-04,강원,1008
2016-11-05,강원,732
2016-11-06,강원,85
2016-11-07,강원,1326
2016-11-08,강원,955
2016-11-09,강원,921
2016-11-10,강원,951
2016-11-11,강원,992
2016-11-12,강원,687
2016-11-13,강원,87
2016-11-14,강원,1350
2016-11-15,강원,937
2016-11-16,강원,1011
2016-11-17,강원,884
2016-11-18,강원,979
2016-11-19,강원,770
2016-11-20,강원,86
2016-11-21,강원,1412
2016-11-22,강원,1084
2016-11-23,강원,986
2016-11-24,강원,928
2016-11-25,강원,1125
2016-11-26,강원,764
2016-11-27,강원,89
2016-11-28,강원,1473
2016-11-29,강원,1038
2016-11-30,강원,942
2016-12-01,강원,1093
2016-12-02,강원,1148
2016-12-03,강원,773
2016-12-04,강원,93
2016-12-05,강원,1440
2016-12-06,강원,1133
2016-12-07,강원,982
2016-12-08,강원,986
2016-12-09,강원,1145
2016-12-10,강원,796
2016-12-11,강원,86
2016-12-12,강원,1539
2016-12-13,강원,1114
2016-12-14,강원,903
2016-12-15,강원,1047
2016-12-16,강원,1208
2016-12-17,강원,831
2016-12-18,강원,96
2016-12-19,강원,1688
2016-12-20,강원,1219
2016-12-21,강원,1155
2016-12-22,강원,1101
2016-12-23,강원,1299
2016-12-24,강원,891
2016-12-25,강원,75
2016-12-26,강원,1600
2016-12-27,강원,1075
2016-12-28,강원,1126
2016-12-29,강원,1091
2016-12-30,강원,1254
2016-12-31,강원,706
