날짜,지역,발생수
2016-01-01,울산,287
2016-01-02,울산,1061
2016-01-03,울산,205
2016-01-04,울산,1493
2016-01-05,울산,1013
2016-01-06,울산,904
2016-01-07,울산,908
2016-01-08,울산,994
2016-01-09,울산,735
2016-01-10,울산,142
2016-01-11,울산,1341
2016-01-12,울산,880
2016-01-13,울산,831
2016-01-14,울산,843
2016-01-15,울산,888
2016-01-16,울산,771
2016-01-17,울산,139
2016-01-18,울산,1200
2016-01-19,울산,730
2016-01-20,울산,814
2016-01-21,울산,818
2016-01-22,울산,939
2016-01-23,울산,715
2016-01-24,울산,132
2016-01-25,울산,1151
2016-01-26,울산,820
2016-01-27,울산,802
2016-01-28,울산,809
2016-01-29,울산,818
2016-01-30,울산,784
2016-01-31,울산,170
2016-02-01,울산,1357
2016-02-02,울산,920
2016-02-03,울산,903
2016-02-04,울산,982
2016-02-05,울산,1242
2016-02-06,울산,1079
2016-02-07,울산,174
2016-02-08,울산,86
2016-02-09,울산,196
2016-02-10,울산,692
2016-02-11,울산,1361
2016-02-12,울산,962
2016-02-13,울산,903
2016-02-14,울산,173
2016-02-15,울산,1336
2016-02-16,울산,938
2016-02-17,울산,852
2016-02-18,울산,857
2016-02-19,울산,962
2016-02-20,울산,777
2016-02-21,울산,187
2016-02-22,울산,1281
2016-02-23,울산,934
2016-02-24,울산,925
2016-02-25,울산,933
2016-02-26,울산,1073
2016-02-27,울산,746
2016-02-28,울산,112
2016-02-29,울산,1354
2016-03-01,울산,296
2016-03-02,울산,1125
2016-03-03,울산,901
2016-03-04,울산,793
2016-03-05,울산,818
2016-03-06,울산,188
2016-03-07,울산,1136
2016-03-08,울산,817
2016-03-09,울산,830
2016-03-10,울산,815
2016-03-11,울산,910
2016-03-12,울산,920
2016-03-13,울산,186
2016-03-14,울산,1402
2016-03-15,울산,968
2016-03-16,울산,894
2016-03-17,울산,1028
2016-03-18,울산,993
2016-03-19,울산,1042
2016-03-20,울산,194
2016-03-21,울산,1437
2016-03-22,울산,949
2016-03-23,울산,1064
2016-03-24,울산,1034
2016-03-25,울산,1095
2016-03-26,울산,925
2016-03-27,울산,159
2016-03-28,울산,1463
2016-03-29,울산,989
2016-03-30,울산,934
2016-03-31,울산,1030
2016-04-01,울산,1171
2016-04-02,울산,971
2016-04-03,울산,186
2016-04-04,울산,1334
2016-04-05,울산,932
2016-04-06,울산,991
2016-04-07,울산,963
2016-04-08,울산,1056
2016-04-09,울산,833
2016-04-10,울산,196
2016-04-11,울산,1424
2016-04-12,울산,927
2016-04-13,울산,649
2016-04-14,울산,1052
2016-04-15,울산,1002
2016-04-16,울산,824
2016-04-17,울산,217
2016-04-18,울산,1357
2016-04-19,울산,962
2016-04-20,울산,947
2016-04-21,울산,893
2016-04-22,울산,973
2016-04-23,울산,908
2016-04-24,울산,162
2016-04-25,울산,1382
2016-04-26,울산,1024
2016-04-27,울산,857
2016-04-28,울산,1071
2016-04-29,울산,1038
2016-04-30,울산,898
2016-05-01,울산,234
2016-05-02,울산,1364
2016-05-03,울산,816
2016-05-04,울산,1159
2016-05-05,울산,286
2016-05-06,울산,1023
2016-05-07,울산,697
2016-05-08,울산,218
2016-05-09,울산,1345
2016-05-10,울산,780
2016-05-11,울산,911
2016-05-12,울산,865
2016-05-13,울산,918
2016-05-14,울산,364
2016-05-15,울산,180
2016-05-16,울산,1287
2016-05-17,울산,796
2016-05-18,울산,800
2016-05-19,울산,826
2016-05-20,울산,950
2016-05-21,울산,714
2016-05-22,울산,149
2016-05-23,울산,1204
2016-05-24,울산,793
2016-05-25,울산,747
2016-05-26,울산,818
2016-05-27,울산,829
2016-05-28,울산,652
2016-05-29,울산,181
2016-05-30,울산,1046
2016-05-31,울산,778
2016-06-01,울산,827
2016-06-02,울산,732
2016-06-03,울산,843
2016-06-04,울산,662
2016-06-05,울산,108
2016-06-06,울산,343
2016-06-07,울산,1121
2016-06-08,울산,684
2016-06-09,울산,655
2016-06-10,울산,714
2016-06-11,울산,527
2016-06-12,울산,118
2016-06-13,울산,909
2016-06-14,울산,623
2016-06-15,울산,643
2016-06-16,울산,609
2016-06-17,울산,716
2016-06-18,울산,545
2016-06-19,울산,110
2016-06-20,울산,819
2016-06-21,울산,630
2016-06-22,울산,563
2016-06-23,울산,572
2016-06-24,울산,577
2016-06-25,울산,484
2016-06-26,울산,123
2016-06-27,울산,821
2016-06-28,울산,541
2016-06-29,울산,592
2016-06-30,울산,533
2016-07-01,울산,613
2016-07-02,울산,524
2016-07-03,울산,78
2016-07-04,울산,774
2016-07-05,울산,540
2016-07-06,울산,473
2016-07-07,울산,551
2016-07-08,울산,593
2016-07-09,울산,423
2016-07-10,울산,97
2016-07-11,울산,700
2016-07-12,울산,484
2016-07-13,울산,532
2016-07-14,울산,501
2016-07-15,울산,554
2016-07-16,울산,486
2016-07-17,울산,72
2016-07-18,울산,773
2016-07-19,울산,550
2016-07-20,울산,534
2016-07-21,울산,559
2016-07-22,울산,580
2016-07-23,울산,443
2016-07-24,울산,89
2016-07-25,울산,686
2016-07-26,울산,548
2016-07-27,울산,521
2016-07-28,울산,491
2016-07-29,울산,568
2016-07-30,울산,392
2016-07-31,울산,70
2016-08-01,울산,532
2016-08-02,울산,398
2016-08-03,울산,411
2016-08-04,울산,456
2016-08-05,울산,535
2016-08-06,울산,349
2016-08-07,울산,78
2016-08-08,울산,693
2016-08-09,울산,494
2016-08-10,울산,477
2016-08-11,울산,462
2016-08-12,울산,533
2016-08-13,울산,381
2016-08-14,울산,92
2016-08-15,울산,166
2016-08-16,울산,663
2016-08-17,울산,475
2016-08-18,울산,475
2016-08-19,울산,559
2016-08-20,울산,437
2016-08-21,울산,117
2016-08-22,울산,751
2016-08-23,울산,501
2016-08-24,울산,524
2016-08-25,울산,522
2016-08-26,울산,615
2016-08-27,울산,518
2016-08-28,울산,148
2016-08-29,울산,906
2016-08-30,울산,656
2016-08-31,울산,727
2016-09-01,울산,720
2016-09-02,울산,587
2016-09-03,울산,655
2016-09-04,울산,172
2016-09-05,울산,883
2016-09-06,울산,649
2016-09-07,울산,699
2016-09-08,울산,699
2016-09-09,울산,762
2016-09-10,울산,737
2016-09-11,울산,204
2016-09-12,울산,1102
2016-09-13,울산,1085
2016-09-14,울산,271
2016-09-15,울산,49
2016-09-16,울산,156
2016-09-17,울산,711
2016-09-18,울산,210
2016-09-19,울산,1341
2016-09-20,울산,837
2016-09-21,울산,792
2016-09-22,울산,815
2016-09-23,울산,899
2016-09-24,울산,722
2016-09-25,울산,125
2016-09-26,울산,1119
2016-09-27,울산,775
2016-09-28,울산,731
2016-09-29,울산,775
2016-09-30,울산,855
2016-10-01,울산,866
2016-10-02,울산,185
2016-10-03,울산,359
2016-10-04,울산,1175
2016-10-05,울산,490
2016-10-06,울산,786
2016-10-07,울산,848
2016-10-08,울산,735
2016-10-09,울산,174
2016-10-10,울산,1218
2016-10-11,울산,834
2016-10-12,울산,796
2016-10-13,울산,845
2016-10-14,울산,910
2016-10-15,울산,792
2016-10-16,울산,159
2016-10-17,울산,1170
2016-10-18,울산,761
2016-10-19,울산,841
2016-10-20,울산,908
2016-10-21,울산,960
2016-10-22,울산,832
2016-10-23,울산,200
2016-10-24,울산,1340
2016-10-25,울산,879
2016-10-26,울산,860
2016-10-27,울산,949
2016-10-28,울산,999
2016-10-29,울산,891
2016-10-30,울산,220
2016-10-31,울산,1379
2016-11-01,울산,1119
2016-11-02,울산,1051
2016-11-03,울산,1088
2016-11-04,울산,1125
2016-11-05,울산,983
2016-11-06,울산,244
2016-11-07,울산,1542
2016-11-08,울산,1090
2016-11-09,울산,1105
2016-11-10,울산,1008
2016-11-11,울산,1191
2016-11-12,울산,1021
2016-11-13,울산,226
2016-11-14,울산,1501
2016-11-15,울산,1018
2016-11-16,울산,1057
2016-11-17,울산,1069
2016-11-18,울산,1131
2016-11-19,울산,949
2016-11-20,울산,201
2016-11-21,울산,1482
2016-11-22,울산,1047
2016-11-23,울산,1109
2016-11-24,울산,1007
2016-11-25,울산,1149
2016-11-26,울산,977
2016-11-27,울산,205
2016-11-28,울산,1513
2016-11-29,울산,993
2016-11-30,울산,1001
2016-12-01,울산,1024
2016-12-02,울산,1026
2016-12-03,울산,919
2016-12-04,울산,220
2016-12-05,울산,1380
2016-12-06,울산,921
2016-12-07,울산,914
2016-12-08,울산,963
2016-12-09,울산,1026
2016-12-10,울산,904
2016-12-11,울산,181
2016-12-12,울산,1294
2016-12-13,울산,890
2016-12-14,울산,919
2016-12-15,울산,983
2016-12-16,울산,946
2016-12-17,울산,873
2016-12-18,울산,185
2016-12-19,울산,1260
2016-12-20,울산,1005
2016-12-21,울산,933
2016-12-22,울산,965
2016-12-23,울산,1025
2016-12-24,울산,873
2016-12-25,울산,181
2016-12-26,울산,1413
2016-12-27,울산,1104
2016-12-28,울산,1021
2016-12-29,울산,1080
2016-12-30,울산,1107
2016-12-31,울산,805
