날짜,지역,발생수
2017-09-04,경기,7478
2017-09-05,경기,6361
2017-09-06,경기,1376
2017-09-07,경기,10656
2017-09-08,경기,7352
2017-09-09,경기,7622
2017-09-10,경기,7702
2017-09-11,경기,7768
2017-09-12,경기,7241
2017-09-13,경기,1437
2017-09-14,경기,11244
2017-09-15,경기,7625
2017-09-16,경기,7676
2017-09-17,경기,8023
2017-09-18,경기,8463
2017-09-19,경기,7656
2017-09-20,경기,1509
2017-09-21,경기,11507
2017-09-22,경기,8243
2017-09-23,경기,8472
2017-09-24,경기,8687
2017-09-25,경기,12436
2017-09-26,경기,2084
2017-09-27,경기,460
2017-09-28,경기,1468
2017-09-29,경기,5141
2017-09-30,경기,11777
2017-10-01,경기,7620
2017-10-02,경기,9739
2017-10-03,경기,2976
2017-10-04,경기,1449
2017-10-05,경기,11756
2017-10-06,경기,7454
2017-10-07,경기,7422
2017-10-08,경기,8455
2017-10-09,경기,2097
2017-10-10,경기,7781
2017-10-11,경기,1549
2017-10-12,경기,11516
2017-10-13,경기,7693
2017-10-14,경기,7208
2017-10-15,경기,7233
2017-10-16,경기,7935
2017-10-17,경기,6673
2017-10-18,경기,1390
2017-10-19,경기,10946
2017-10-20,경기,7685
2017-10-21,경기,7496
2017-10-22,경기,7804
2017-10-23,경기,8646
2017-10-24,경기,7033
2017-10-25,경기,1458
2017-10-26,경기,11075
2017-10-27,경기,7763
2017-10-28,경기,7849
2017-10-29,경기,7935
2017-10-30,경기,8717
2017-10-31,경기,7520
2017-11-01,경기,1825
2017-11-02,경기,11870
2017-11-03,경기,8120
2017-11-04,경기,7908
2017-11-05,경기,8213
2017-11-06,경기,8962
2017-11-07,경기,7509
2017-11-08,경기,1580
2017-11-09,경기,11790
2017-11-10,경기,7992
2017-11-11,경기,7999
2017-11-12,경기,7957
2017-11-13,경기,8029
2017-11-14,경기,7820
2017-11-15,경기,1482
2017-11-16,경기,11208
2017-11-17,경기,8279
2017-11-18,경기,7667
2017-11-19,경기,8356
2017-11-20,경기,9180
2017-11-21,경기,7489
2017-11-22,경기,1594
2017-11-23,경기,12527
2017-11-24,경기,8628
2017-11-25,경기,8641
2017-11-26,경기,8793
2017-11-27,경기,9772
2017-11-28,경기,8565
2017-11-29,경기,1799
2017-11-30,경기,13891
2017-12-01,경기,9803
2017-12-02,경기,9466
2017-12-03,경기,8969
2017-12-04,경기,10672
2017-12-05,경기,9566
2017-12-06,경기,1962
2017-12-07,경기,14507
2017-12-08,경기,9897
2017-12-09,경기,9968
2017-12-10,경기,9908
2017-12-11,경기,11151
2017-12-12,경기,9347
2017-12-13,경기,1956
2017-12-14,경기,14290
2017-12-15,경기,10665
2017-12-16,경기,10175
2017-12-17,경기,9985
2017-12-18,경기,11196
2017-12-19,경기,9687
2017-12-20,경기,1950
2017-12-21,경기,14422
2017-12-22,경기,10012
2017-12-23,경기,10208
2017-12-24,경기,11977
2017-12-25,경기,1932
2017-12-26,경기,11142
2017-12-27,경기,1775
2017-12-28,경기,14585
2017-12-29,경기,10279
2017-12-30,경기,10213
2017-12-31,경기,12539
