날짜,지역,발생수
2017-09-19,울산,877
2017-09-20,울산,218
2017-09-21,울산,1324
2017-09-22,울산,939
2017-09-23,울산,842
2017-09-24,울산,989
2017-09-25,울산,1318
2017-09-26,울산,259
2017-09-27,울산,83
2017-09-28,울산,188
2017-09-29,울산,773
2017-09-30,울산,1313
2017-10-01,울산,892
2017-10-02,울산,1130
2017-10-03,울산,446
2017-10-04,울산,187
2017-10-05,울산,1318
2017-10-06,울산,827
2017-10-07,울산,860
2017-10-08,울산,976
2017-10-09,울산,355
2017-10-10,울산,978
2017-10-11,울산,187
2017-10-12,울산,1411
2017-10-13,울산,940
2017-10-14,울산,821
2017-10-15,울산,855
2017-10-16,울산,952
2017-10-17,울산,793
2017-10-18,울산,157
2017-10-19,울산,1338
2017-10-20,울산,882
2017-10-21,울산,890
2017-10-22,울산,932
2017-10-23,울산,979
2017-10-24,울산,831
2017-10-25,울산,236
2017-10-26,울산,1323
2017-10-27,울산,944
2017-10-28,울산,950
2017-10-29,울산,883
2017-10-30,울산,1050
2017-10-31,울산,905
2017-11-01,울산,232
2017-11-02,울산,1381
2017-11-03,울산,902
2017-11-04,울산,916
2017-11-05,울산,927
2017-11-06,울산,1046
2017-11-07,울산,847
2017-11-08,울산,197
2017-11-09,울산,1341
2017-11-10,울산,910
2017-11-11,울산,916
2017-11-12,울산,937
2017-11-13,울산,912
2017-11-14,울산,854
2017-11-15,울산,181
2017-11-16,울산,1296
2017-11-17,울산,968
2017-11-18,울산,810
2017-11-19,울산,964
2017-11-20,울산,1054
2017-11-21,울산,821
2017-11-22,울산,188
2017-11-23,울산,1332
2017-11-24,울산,937
2017-11-25,울산,929
2017-11-26,울산,954
2017-11-27,울산,1091
2017-11-28,울산,959
2017-11-29,울산,198
2017-11-30,울산,1577
2017-12-01,울산,1106
2017-12-02,울산,1050
2017-12-03,울산,1104
2017-12-04,울산,1256
2017-12-05,울산,1091
2017-12-06,울산,288
2017-12-07,울산,1684
2017-12-08,울산,1091
2017-12-09,울산,1199
2017-12-10,울산,1058
2017-12-11,울산,1279
2017-12-12,울산,1087
2017-12-13,울산,223
2017-12-14,울산,1679
2017-12-15,울산,1237
2017-12-16,울산,1238
2017-12-17,울산,1135
2017-12-18,울산,1291
2017-12-19,울산,1173
2017-12-20,울산,284
2017-12-21,울산,1782
2017-12-22,울산,1078
2017-12-23,울산,1146
2017-12-24,울산,1319
2017-12-25,울산,322
2017-12-26,울산,1324
2017-12-27,울산,248
2017-12-28,울산,1698
2017-12-29,울산,1095
2017-12-30,울산,1193
2017-12-31,울산,1418
