지역,날짜,평균기온(°C),최저기온(°C),최고기온(°C),최소 상대습도(%),최저기온위험지수,일교차위험지수,습도위험지수
경기,2017-01-01,1.6,-4.2,5.7,58,,,
경기,2017-01-02,5.8,1.2,10.3,67,,,
경기,2017-01-03,6,2.7,10.7,65,,,
경기,2017-01-04,3.7,-1,7.5,27,,,
경기,2017-01-05,-1.1,-3.4,2.6,21,,,
경기,2017-01-06,-0.7,-4.6,3.7,45,,,
경기,2017-01-07,-1.8,-5.6,3,26,,,
경기,2017-01-08,-1.5,-7.3,3.1,23,,,
경기,2017-01-09,0.2,-3.6,4,41,,,
경기,2017-01-10,1.5,-1.8,6.7,20,,,
경기,2017-01-11,-2,-5,2.8,18,,,
경기,2017-01-12,-3.8,-8,1.7,23,,,
경기,2017-01-13,-2.9,-7.3,1.8,40,,,
경기,2017-01-14,-3.5,-10.2,1.1,26,,,
경기,2017-01-15,-0.3,-4.2,5,38,,,
경기,2017-01-16,1.7,-2.3,4.9,56,,,
경기,2017-01-17,2.5,-1.5,6.5,48,,,
경기,2017-01-18,-4.7,-10.2,1.8,36,,,
경기,2017-01-19,-10.5,-12.9,-6.8,34,,,
경기,2017-01-20,-9,-12.6,-5,32,,,
경기,2017-01-21,-5.8,-9.8,-1.4,30,,,
경기,2017-01-22,-5.8,-10.6,-1.5,21,,,
경기,2017-01-23,-9.5,-14.3,-6.1,27,,,
경기,2017-01-24,-12.6,-16.2,-8.5,33,,,
경기,2017-01-25,-8.2,-14.4,-2.4,29,,,
경기,2017-01-26,-2.8,-6.5,3.3,45,,,
경기,2017-01-27,-0.7,-5.5,4.8,41,,,
경기,2017-01-28,0.2,-6.8,5.2,24,,,
경기,2017-01-29,2,-1.6,6.5,31,,,
경기,2017-01-30,0.6,-4.1,7.5,47,,,
경기,2017-01-31,-2.6,-4.9,0.7,30,,,
경기,2017-02-01,-4.9,-8,-0.4,24,,,
경기,2017-02-02,-4.7,-10.5,2.3,23,,,
경기,2017-02-03,-2.7,-9.1,5.4,33,,,
경기,2017-02-04,0,-4.6,6.2,26,,,
경기,2017-02-05,-1.7,-7.4,4.2,20,,,
경기,2017-02-06,-2.3,-7.7,2.8,28,,,
경기,2017-02-07,-2.9,-9.5,3.9,23,,,
경기,2017-02-08,2,-5,7.3,50,,,
경기,2017-02-09,1.2,-3.5,7.5,28,,,
경기,2017-02-10,2.4,-5.6,10.9,17,,,
경기,2017-02-11,8.5,0.3,14.8,22,,,
경기,2017-02-12,9.5,7.4,10.9,65,,,
경기,2017-02-13,11.8,4.4,16.6,80,,,
경기,2017-02-14,-1.4,-5,4.5,54,,,
경기,2017-02-15,-4.5,-8.6,-0.5,29.8,,,
경기,2017-02-16,-2.1,-7.3,3.4,51.4,,,
경기,2017-02-17,0.4,-5.6,6.2,32,,,
경기,2017-02-18,3.9,-2.8,8.6,50,,,
경기,2017-02-19,1.9,-1.5,4.9,52,,,
경기,2017-02-20,2.4,-2.2,8.4,17,,,
경기,2017-02-21,0.4,-5.1,5.5,22,,,
경기,2017-02-22,2.2,-1.7,4.9,19,,,
경기,2017-02-23,1.5,-3.1,7.1,27,,,
경기,2017-02-24,-2.3,-6.2,2.4,26,,,
경기,2017-02-25,0.6,-5.8,5.9,38,,,
경기,2017-02-26,3.4,-1.8,8.1,20,,,
경기,2017-02-27,2.9,0.3,7.9,43,,,
경기,2017-02-28,1.6,-2.1,7.6,33,,,
