날짜,지역,발생수
2016-01-01,경기,1735
2016-01-02,경기,9078
2016-01-03,경기,1580
2016-01-04,경기,12896
2016-01-05,경기,8529
2016-01-06,경기,8233
2016-01-07,경기,8130
2016-01-08,경기,8591
2016-01-09,경기,6992
2016-01-10,경기,1151
2016-01-11,경기,10924
2016-01-12,경기,7589
2016-01-13,경기,7273
2016-01-14,경기,7325
2016-01-15,경기,8281
2016-01-16,경기,6660
2016-01-17,경기,1323
2016-01-18,경기,10397
2016-01-19,경기,6531
2016-01-20,경기,7436
2016-01-21,경기,7451
2016-01-22,경기,8250
2016-01-23,경기,6721
2016-01-24,경기,1267
2016-01-25,경기,10585
2016-01-26,경기,7416
2016-01-27,경기,7620
2016-01-28,경기,7843
2016-01-29,경기,8654
2016-01-30,경기,7234
2016-01-31,경기,1392
2016-02-01,경기,12102
2016-02-02,경기,8579
2016-02-03,경기,8958
2016-02-04,경기,9399
2016-02-05,경기,12359
2016-02-06,경기,10114
2016-02-07,경기,1200
2016-02-08,경기,524
2016-02-09,경기,1598
2016-02-10,경기,5780
2016-02-11,경기,13297
2016-02-12,경기,9245
2016-02-13,경기,8686
2016-02-14,경기,1250
2016-02-15,경기,12012
2016-02-16,경기,7870
2016-02-17,경기,8118
2016-02-18,경기,8208
2016-02-19,경기,8948
2016-02-20,경기,7007
2016-02-21,경기,1286
2016-02-22,경기,11444
2016-02-23,경기,7936
2016-02-24,경기,7885
2016-02-25,경기,8076
2016-02-26,경기,8820
2016-02-27,경기,6871
2016-02-28,경기,1159
2016-02-29,경기,11542
2016-03-01,경기,2098
2016-03-02,경기,9559
2016-03-03,경기,7390
2016-03-04,경기,7683
2016-03-05,경기,6293
2016-03-06,경기,1223
2016-03-07,경기,9821
2016-03-08,경기,7106
2016-03-09,경기,7184
2016-03-10,경기,7306
2016-03-11,경기,8378
2016-03-12,경기,7352
2016-03-13,경기,1545
2016-03-14,경기,11418
2016-03-15,경기,8114
2016-03-16,경기,8107
2016-03-17,경기,8286
2016-03-18,경기,9195
2016-03-19,경기,7899
2016-03-20,경기,1691
2016-03-21,경기,12450
2016-03-22,경기,8651
2016-03-23,경기,8775
2016-03-24,경기,8803
2016-03-25,경기,9678
2016-03-26,경기,8336
2016-03-27,경기,1554
2016-03-28,경기,12898
2016-03-29,경기,8689
2016-03-30,경기,8723
2016-03-31,경기,8700
2016-04-01,경기,9674
2016-04-02,경기,7816
2016-04-03,경기,1647
2016-04-04,경기,12332
2016-04-05,경기,8278
2016-04-06,경기,8110
2016-04-07,경기,8317
2016-04-08,경기,8948
2016-04-09,경기,7674
2016-04-10,경기,1427
2016-04-11,경기,11635
2016-04-12,경기,8375
2016-04-13,경기,4690
2016-04-14,경기,9215
2016-04-15,경기,8246
2016-04-16,경기,7227
2016-04-17,경기,1441
2016-04-18,경기,10821
2016-04-19,경기,7932
2016-04-20,경기,7465
2016-04-21,경기,7776
2016-04-22,경기,8408
2016-04-23,경기,6985
2016-04-24,경기,1465
2016-04-25,경기,11846
2016-04-26,경기,8552
2016-04-27,경기,8916
2016-04-28,경기,9084
2016-04-29,경기,10001
2016-04-30,경기,8317
2016-05-01,경기,1925
2016-05-02,경기,12861
2016-05-03,경기,8418
2016-05-04,경기,11114
2016-05-05,경기,1752
2016-05-06,경기,8874
2016-05-07,경기,6602
2016-05-08,경기,1406
2016-05-09,경기,12309
2016-05-10,경기,7685
2016-05-11,경기,7978
2016-05-12,경기,7606
2016-05-13,경기,8596
2016-05-14,경기,2587
2016-05-15,경기,1574
2016-05-16,경기,11765
2016-05-17,경기,7237
2016-05-18,경기,7196
2016-05-19,경기,7096
2016-05-20,경기,7754
2016-05-21,경기,6208
2016-05-22,경기,1279
2016-05-23,경기,10492
2016-05-24,경기,6995
2016-05-25,경기,7150
2016-05-26,경기,7274
2016-05-27,경기,7645
2016-05-28,경기,5944
2016-05-29,경기,1171
2016-05-30,경기,9831
2016-05-31,경기,6734
2016-06-01,경기,6952
2016-06-02,경기,6786
2016-06-03,경기,7503
2016-06-04,경기,6111
2016-06-05,경기,1074
2016-06-06,경기,2109
2016-06-07,경기,9394
2016-06-08,경기,6184
2016-06-09,경기,5689
2016-06-10,경기,6282
2016-06-11,경기,5169
2016-06-12,경기,882
