날짜,시도지역코드,발생건수(건)
20170101,경남,771
20170102,경남,2834
20170103,경남,324
20170104,경남,4343
20170105,경남,2940
20170106,경남,2799
20170107,경남,2737
20170108,경남,3002
20170109,경남,2355
20170110,경남,206
20170111,경남,3928
20170112,경남,2670
20170113,경남,2583
20170114,경남,2550
20170115,경남,2842
20170116,경남,2199
20170117,경남,239
20170118,경남,3803
20170119,경남,2379
20170120,경남,2611
20170121,경남,2599
20170122,경남,2773
20170123,경남,2245
20170124,경남,191
20170125,경남,3604
20170126,경남,2649
20170127,경남,2672
20170128,경남,2491
20170129,경남,2674
20170130,경남,2348
20170131,경남,215
20170201,경남,4345
20170202,경남,2885
20170203,경남,2953
20170204,경남,3203
20170205,경남,4064
20170206,경남,3067
20170207,경남,305
20170208,경남,104
20170209,경남,429
20170210,경남,1824
20170211,경남,4678
20170212,경남,3284
20170213,경남,2978
20170214,경남,263
20170215,경남,4327
20170216,경남,2917
20170217,경남,2917
20170218,경남,2752
20170219,경남,3157
20170220,경남,2499
20170221,경남,236
20170222,경남,4003
20170223,경남,2940
20170224,경남,2790
20170225,경남,2705
20170226,경남,3213
20170227,경남,2210
20170228,경남,261
20170301,경남,935
20170302,경남,3454
20170303,경남,2641
20170304,경남,2394
20170305,경남,2242
20170306,경남,200
20170307,경남,3468
20170308,경남,2327
20170309,경남,2424
20170310,경남,2332
20170311,경남,2752
20170312,경남,2386
20170313,경남,272
20170314,경남,3778
20170315,경남,2684
20170316,경남,2694
20170317,경남,2753
20170318,경남,2840
20170319,경남,2569
20170320,경남,262
20170321,경남,4085
20170322,경남,3003
20170323,경남,2903
20170324,경남,2879
20170325,경남,3220
20170326,경남,2790
20170327,경남,302
20170328,경남,4363
20170329,경남,3067
20170330,경남,2852
20170331,경남,2802
20170401,경남,3517
20170402,경남,2587
20170403,경남,281
20170404,경남,4098
20170405,경남,2659
20170406,경남,2810
20170407,경남,2750
20170408,경남,2847
20170409,경남,2389
20170410,경남,264
20170411,경남,4062
20170412,경남,2924
20170413,경남,1438
20170414,경남,2986
20170415,경남,2864
20170416,경남,2433
20170417,경남,254
20170418,경남,3943
20170419,경남,2699
20170420,경남,2639
20170421,경남,2557
20170422,경남,2835
20170423,경남,2245
20170424,경남,214
20170425,경남,3818
20170426,경남,2671
20170427,경남,2613
20170428,경남,2786
20170429,경남,2942
20170430,경남,2288
20170501,경남,626
20170502,경남,3900
20170503,경남,2452
20170504,경남,3304
20170505,경남,448
20170506,경남,2869
20170507,경남,2093
20170508,경남,264
20170509,경남,3971
20170510,경남,2464
20170511,경남,2676
20170512,경남,2421
20170513,경남,2883
20170514,경남,730
20170515,경남,236
20170516,경남,4029
20170517,경남,2513
20170518,경남,2364
20170519,경남,2435
20170520,경남,2635
20170521,경남,1988
20170522,경남,256
20170523,경남,3588
20170524,경남,2301
20170525,경남,2414
20170526,경남,2356
20170527,경남,2613
20170528,경남,1986
20170529,경남,195
20170530,경남,3277
20170531,경남,2257
20170601,경남,2519
20170602,경남,2248
20170603,경남,2519
20170604,경남,1860
20170605,경남,190
20170606,경남,631
20170607,경남,3148
20170608,경남,1989
20170609,경남,1811
20170610,경남,2085
20170611,경남,1566
20170612,경남,169
20170613,경남,2546
20170614,경남,1791
20170615,경남,1802
20170616,경남,1737
20170617,경남,1893
20170618,경남,1477
20170619,경남,138
20170620,경남,2509
20170621,경남,1804
