지점,일시,평균기온(°C),최저기온(°C),최고기온(°C),최소 상대습도(%),최저기온위험지수,일교차위험지수,습도위험지수
184,2017-01-01,8.2,5.2,10.8,54,,,
184,2017-01-02,12.5,7.8,16.8,46,,,
184,2017-01-03,13,10.5,16.2,43,,,
184,2017-01-04,11.7,10.9,12.9,49,,,
184,2017-01-05,8.5,6.6,11.1,40,,,
184,2017-01-06,7.3,5.7,8.7,49,,,
184,2017-01-07,7,6.3,8.2,47,,,
184,2017-01-08,6,4.4,7.5,45,,,
184,2017-01-09,7,5.6,8.3,47,,,
184,2017-01-10,8.1,6.4,10.9,47,,,
184,2017-01-11,6.1,4.3,7.7,41,,,
184,2017-01-12,4.9,4.1,6.1,47,,,
184,2017-01-13,4.6,2.5,5.7,46.6,,,
184,2017-01-14,6.4,5,7.9,41,,,
184,2017-01-15,7.1,4.5,11,41,,,
184,2017-01-16,7.5,4.2,11.1,55,,,
184,2017-01-17,8.9,7.4,10.4,63,,,
184,2017-01-18,4.1,-0.3,8.9,50,,,
184,2017-01-19,1.5,-0.4,3.1,47,,,
184,2017-01-20,2.4,1.5,3.6,59,,,
184,2017-01-21,2.9,2.2,3.9,60,,,
184,2017-01-22,2.8,1.6,4.3,45,,,
184,2017-01-23,-0.5,-4.1,3.4,46,,,
184,2017-01-24,-3,-5.8,0.3,49,,,
184,2017-01-25,1.9,-1.1,4.1,58,,,
184,2017-01-26,5.5,3.8,7.2,52,,,
184,2017-01-27,7.2,4.5,9.6,48,,,
184,2017-01-28,8.6,5.8,11.5,62,,,
184,2017-01-29,8.6,7.7,10,86,,,
184,2017-01-30,7.9,6.5,9,73,,,
184,2017-01-31,4.6,3.1,6.5,64,,,
184,2017-02-01,2.7,1.6,3.6,59,,,
184,2017-02-02,2.8,2,4.7,54,,,
184,2017-02-03,4.8,2.3,6.8,44,,,
184,2017-02-04,6.9,5.2,9.4,36,,,
184,2017-02-05,6,4.6,8.5,37,,,
184,2017-02-06,4.2,3,5.8,44,,,
184,2017-02-07,4.3,2.6,7.2,44,,,
184,2017-02-08,8.2,4.7,11.2,35,,,
184,2017-02-09,8.4,5.2,11.6,25,,,
184,2017-02-10,9.9,4.5,16.7,39,,,
184,2017-02-11,14.9,9.2,19.5,38,,,
184,2017-02-12,17.4,15.7,20.5,56,,,
184,2017-02-13,14.8,9,19.7,79,,,
184,2017-02-14,4.3,2.4,9.2,56,,,
184,2017-02-15,2.1,-0.4,3.7,47.1,,,
184,2017-02-16,5.7,2.9,7.9,42.5,,,
184,2017-02-17,5.8,3.8,8.1,42,,,
184,2017-02-18,8,2.6,13.9,31,,,
184,2017-02-19,10.4,8.3,12.5,45,,,
184,2017-02-20,8.3,5.3,11.1,35,,,
184,2017-02-21,5.7,4.2,8.7,41,,,
184,2017-02-22,6,4.9,8.7,50,,,
184,2017-02-23,7.2,3.7,10.8,43,,,
184,2017-02-24,3.1,2.3,4.8,50,,,
184,2017-02-25,4.3,2.1,7.8,36,,,
184,2017-02-26,9.2,3.3,13.5,30,,,
184,2017-02-27,12,10,14.6,32,,,
184,2017-02-28,11.4,6.3,19.5,21,,,
184,2017-03-01,3.6,1,6.9,46,,,
184,2017-03-02,7.9,2.1,13.6,45,,,
184,2017-03-03,12.3,6.1,16,36,,,
184,2017-03-04,16.6,12.6,22.5,46,,,
184,2017-03-05,18.1,14.2,22,60.4,,,
184,2017-03-06,12.1,10,15.8,62,,,
184,2017-03-07,14.1,10.4,18.6,68,,,
184,2017-03-08,10.1,6.5,14.3,46,,,
184,2017-03-09,6.1,4.3,8.5,42,,,
184,2017-03-10,4.4,2.9,6.7,34,,,
184,2017-03-11,4.8,2.9,7.7,40,,,
184,2017-03-12,6.4,2.9,8.4,32,,,
184,2017-03-13,8.4,6.1,11,32,,,
184,2017-03-14,7.6,6.4,9.6,51,,,
184,2017-03-15,8.3,3.7,11.6,40,,,
184,2017-03-16,12,8,16.1,40,,,
184,2017-03-17,15,8.5,21.3,38,,,
184,2017-03-18,15.3,13.2,20,74,,,
184,2017-03-19,12.4,9.8,15.2,64,,,
184,2017-03-20,11.1,7.3,13.9,62,,,
184,2017-03-21,12.4,9.7,15.5,49,,,
184,2017-03-22,11.2,7.9,15.1,56,,,
184,2017-03-23,9.8,7.3,14.5,45,,,
184,2017-03-24,9.1,7,12.1,46,,,
184,2017-03-25,8.9,7.4,12.1,46,,,
184,2017-03-26,8.7,6.7,11.3,30,,,
184,2017-03-27,10.2,6.6,13.9,24,,,
184,2017-03-28,13.1,6.9,17.2,19,,,
184,2017-03-29,14.7,10.2,17.8,15.2,,,
184,2017-03-30,14.7,12.4,17.4,58,,,
184,2017-03-31,13.9,13.2,16.1,64,,,
184,2017-04-01,14.4,9.8,18.8,37,,,
184,2017-04-02,16.3,11.1,21.6,36,,,
184,2017-04-03,15.6,14.5,17.2,77,,,
184,2017-04-04,13.3,12.8,15,86,,,
184,2017-04-05,13.8,12.6,16.4,43,,,
184,2017-04-06,15.1,11.6,18.6,39,,,
184,2017-04-07,14.9,12.6,21.6,75,,,
184,2017-04-08,13.3,11.5,16.6,73,,,
184,2017-04-09,14.6,11.1,20,54,,,
184,2017-04-10,15.3,12.2,18.8,37.7,,,
184,2017-04-11,14.6,12.5,18.8,57,,,
184,2017-04-12,16.5,12.2,21.1,54,,,
184,2017-04-13,15.9,13,19.6,67,,,
184,2017-04-14,15.1,12.8,22.3,39,,,
184,2017-04-15,16.2,11,21.2,45,,,
184,2017-04-16,20.1,14.2,24.5,47,,,
184,2017-04-17,13.5,12.4,16.4,61,,,
184,2017-04-18,14.6,12.6,17.3,35.6,,,
184,2017-04-19,14.9,13.2,17.2,49,,,
184,2017-04-20,18,12.3,21.7,45,,,
184,2017-04-21,16.7,13.4,22.4,62.9,,,
184,2017-04-22,16.7,11.5,22.3,42,,,
184,2017-04-23,16.6,14.7,20.2,50,,,
184,2017-04-24,16.9,14.3,20.7,16,,,
184,2017-04-25,16.8,13.7,19.8,29,,,
