지점,일시,평균기온(°C),최저기온(°C),최고기온(°C),최소 상대습도(%),최저기온위험지수,일교차위험지수,습도위험지수
192,2017-01-01,-0.1,-6.7,8.7,32,,,
192,2017-01-02,1.8,-3.6,10.8,49,,,
192,2017-01-03,4,-2.2,14.5,44,,,
192,2017-01-04,4.8,-0.3,15,18,,,
192,2017-01-05,0.5,-2.6,4.9,43,,,
192,2017-01-06,1.8,-5.1,8.8,28,,,
192,2017-01-07,1,-3.6,7.5,28,,,
192,2017-01-08,0,-4.9,7,26,,,
192,2017-01-09,-0.3,-6.9,8,28,,,
192,2017-01-10,0,-6.6,9.1,24,,,
192,2017-01-11,1.2,-4.5,8.6,14,,,
192,2017-01-12,-0.1,-6.9,7.2,7,,,
192,2017-01-13,-1.7,-7.7,5.3,31.3,,,
192,2017-01-14,-1.1,-5.9,6.4,29,,,
192,2017-01-15,-0.8,-7.6,8.6,29,,,
192,2017-01-16,1.1,-3.9,8.6,35,,,
192,2017-01-17,2.8,-1.9,7.6,43,,,
192,2017-01-18,0.7,-4,5,30,,,
192,2017-01-19,-3,-5.8,-0.2,23,,,
192,2017-01-20,-3.8,-8.2,1.6,17,,,
192,2017-01-21,-2.1,-6.6,2.9,12,,,
192,2017-01-22,-0.9,-7.9,5.6,10,,,
192,2017-01-23,-3.8,-8.9,-0.2,13,,,
192,2017-01-24,-8.3,-10.2,-5.4,23,,,
192,2017-01-25,-5.3,-12.8,2.7,27,,,
192,2017-01-26,-3.2,-10.9,5.7,28,,,
192,2017-01-27,-1.1,-8.1,8.4,28,,,
192,2017-01-28,0.9,-4.6,4,37,,,
192,2017-01-29,3.1,1.7,3.8,80,,,
192,2017-01-30,3.7,-1.6,7.5,60,,,
192,2017-01-31,1.4,-3.4,6.7,27,,,
192,2017-02-01,-0.6,-4.1,5,17,,,
192,2017-02-02,-2.3,-9.1,6.2,13,,,
192,2017-02-03,-1.7,-9.3,7.7,20,,,
192,2017-02-04,-0.2,-7.7,7.7,20,,,
192,2017-02-05,1.3,-6.5,9.6,10,,,
192,2017-02-06,-0.3,-6.7,5.9,23,,,
192,2017-02-07,-1.6,-8.8,7.1,21,,,
192,2017-02-08,1.9,-8.6,8.5,20,,,
192,2017-02-09,4.9,-2,9.3,11,,,
192,2017-02-10,1.7,-6.2,12,10,,,
192,2017-02-11,6.1,-3,14.4,35,,,
192,2017-02-12,9.2,5.8,14.4,71,,,
192,2017-02-13,12,9.3,15.3,84,,,
192,2017-02-14,4.1,-1.8,14.6,34,,,
192,2017-02-15,-1.5,-4.4,2.3,17.5,,,
192,2017-02-16,0.2,-6.3,5.4,30.1,,,
192,2017-02-17,1.7,-3.4,8.1,18,,,
192,2017-02-18,2.3,-6.1,10.3,32,,,
192,2017-02-19,5,-2.7,13.7,19,,,
192,2017-02-20,6,1.8,12.7,15,,,
192,2017-02-21,2.1,-3.6,8.2,17,,,
192,2017-02-22,3.4,-2,7,27,,,
192,2017-02-23,5.5,-0.1,11.9,17,,,
192,2017-02-24,1.4,-4,7.1,12,,,
192,2017-02-25,0.8,-4.2,7.6,13,,,
192,2017-02-26,1.8,-5.9,8.3,39,,,
192,2017-02-27,7.9,0.8,14.2,15,,,
192,2017-02-28,6.1,-0.7,13.6,45,,,
192,2017-03-01,-0.8,-7.7,6.8,17,,,
192,2017-03-02,3.8,-6.8,11.8,20,,,
192,2017-03-03,6.7,-3.4,16,28,,,
192,2017-03-04,8.2,6.6,9.7,74,,,
192,2017-03-05,12.1,8.5,15.7,75.7,,,
192,2017-03-06,13.7,8.3,19.5,48,,,
192,2017-03-07,11,6.8,17.7,46,,,
192,2017-03-08,8,3.4,11.3,26,,,
192,2017-03-09,5.2,1.2,12.6,21,,,
192,2017-03-10,3,-1.3,8.5,11,,,
192,2017-03-11,2,-3.3,8.4,14,,,
192,2017-03-12,2.7,-5.4,10.1,15,,,
192,2017-03-13,4.7,1,8.8,30,,,
192,2017-03-14,5.5,-1.7,13.9,22,,,
192,2017-03-15,5.9,-3.3,14.5,16,,,
192,2017-03-16,8.4,2.8,16.7,20,,,
192,2017-03-17,9.3,-1.1,18.7,16,,,
192,2017-03-18,9.8,7.9,12.1,65,,,
192,2017-03-19,11.5,6.1,18.9,40,,,
192,2017-03-20,9.5,6.4,13.6,47,,,
192,2017-03-21,9.3,3.5,16.6,29,,,
192,2017-03-22,9.6,2.6,18.4,21,,,
192,2017-03-23,10.5,3.3,17.2,22,,,
192,2017-03-24,8.3,5.6,12.6,25,,,
192,2017-03-25,6.8,4.1,11.5,43,,,
192,2017-03-26,6.6,0.1,13.4,18,,,
192,2017-03-27,7.4,-0.4,15.4,17,,,
192,2017-03-28,8.4,-1.5,17.5,13,,,
192,2017-03-29,10.7,1.5,15.9,33.5,,,
192,2017-03-30,13.8,6.8,21.6,15,,,
192,2017-03-31,12,4.6,20.9,16,,,
192,2017-04-01,13.6,4.1,24.3,12,,,
192,2017-04-02,13.1,5.1,20.1,42,,,
192,2017-04-03,12.2,10.8,13.5,79,,,
192,2017-04-04,11.2,9.8,13.8,65,,,
192,2017-04-05,12.4,7.2,20.2,24,,,
192,2017-04-06,11.8,5.2,20.5,18,,,
192,2017-04-07,12.2,8.6,17.6,61,,,
192,2017-04-08,15,9.1,23,20,,,
192,2017-04-09,15,6.4,24,19,,,
192,2017-04-10,14.4,7.1,22.9,28.1,,,
192,2017-04-11,10.8,9.2,12.6,55,,,
192,2017-04-12,11.5,4.3,18.6,25,,,
192,2017-04-13,13.6,10.6,15.4,87,,,
192,2017-04-14,17.1,11.3,25.8,13,,,
192,2017-04-15,12.9,5.3,21.2,31,,,
192,2017-04-16,13.2,5.4,18.8,47,,,
192,2017-04-17,15.5,10.5,19.8,23,,,
192,2017-04-18,14.4,8.6,20.7,18.9,,,
192,2017-04-19,13.5,6.2,21,19,,,
192,2017-04-20,13.5,5.5,21,17,,,
192,2017-04-21,13.8,11.1,17.3,70.1,,,
192,2017-04-22,17,12.5,24.5,37,,,
192,2017-04-23,15.4,11.9,20.7,19,,,
192,2017-04-24,14.6,6.9,23.8,13,,,
192,2017-04-25,15.4,6.9,26.3,16,,,
192,2017-04-26,16.3,5.7,25.6,30,,,
192,2017-04-27,11.4,10.7,14.7,79,,,
192,2017-04-28,14.1,10.5,19.5,48,,,
192,2017-04-29,15,11.5,20.6,17,,,
192,2017-04-30,16.6,9,23.1,28,,,
192,2017-05-01,16.5,8,23.9,28,,,
192,2017-05-02,17.8,10.2,23.5,59,,,
192,2017-05-03,16.6,14.2,20.8,41,,,
192,2017-05-04,17.8,10.5,24.9,9,,,
192,2017-05-05,16,6.1,24.2,12,,,
192,2017-05-06,17.6,14.9,21,63.7,,,
192,2017-05-07,18.3,10,25.2,19,,,
192,2017-05-08,16.7,7.9,23.4,22,,,
192,2017-05-09,17.6,13.8,22,32,,,
192,2017-05-10,14.4,12.2,17.3,63,,,
192,2017-05-11,15.8,12.2,21.7,45,,,
192,2017-05-12,17.6,11.2,24.1,27,,,
192,2017-05-13,16.2,10.9,23.3,40,,,
192,2017-05-14,16.8,9.8,24.5,31,,,
192,2017-05-15,17.9,10.6,22.9,67,,,
192,2017-05-16,15.1,8,22.6,21,,,
192,2017-05-17,16.4,4.7,27.8,19,,,
192,2017-05-18,19.3,8.3,31,11,,,
192,2017-05-19,19,10.2,29.2,14,,,
192,2017-05-20,19.3,10,28.7,21,,,
192,2017-05-21,19,10.7,28,12,,,
192,2017-05-22,19.5,10.2,29.1,16,,,
192,2017-05-23,19.8,10,27.6,25,,,
192,2017-05-24,18.7,15.4,20.4,65,,,
192,2017-05-25,19.3,12.6,27,37,,,
192,2017-05-26,20.6,12.8,27.7,31,,,
192,2017-05-27,22.5,17.8,29.2,25,,,
192,2017-05-28,20.6,16.1,27,30,,,
192,2017-05-29,19.9,15.3,26,40,,,
192,2017-05-30,21.5,12.7,31.1,18,,,
192,2017-05-31,21.2,12.5,29.8,22,,,
192,2017-06-01,20.4,15.1,26.3,26,,,
192,2017-06-02,18.9,10.9,27.3,20,,,
192,2017-06-03,20.7,12.1,28.3,26,,,
192,2017-06-04,17.4,15.4,22.2,55,,,
192,2017-06-05,21.3,15.1,27.3,36,,,
192,2017-06-06,18.3,17.4,19.7,61,,,
192,2017-06-07,21.1,17.4,26.7,51,,,
192,2017-06-08,21.2,17.9,24.6,64,,,
192,2017-06-09,21.7,18.1,28.2,43,,,
192,2017-06-10,22.5,17.8,28.6,46,,,
192,2017-06-11,22.7,18,28.2,53,,,
192,2017-06-12,22.6,20,25.1,67.7,,,
192,2017-06-13,23.2,20.5,28.5,54,,,
192,2017-06-14,23,20.1,28,42.9,,,
192,2017-06-15,21.9,18.5,24.2,61,,,
192,2017-06-16,23.8,17.2,28.7,39,,,
192,2017-06-17,22.4,14.5,30.6,30,,,
192,2017-06-18,22.4,16.9,28.6,27,,,
192,2017-06-19,24.8,20.7,30.8,36,,,
192,2017-06-20,22.8,20.9,26.4,67,,,
192,2017-06-21,22.6,21.2,25.4,73,,,
192,2017-06-22,21.5,20.6,22.7,83,,,
192,2017-06-23,23.7,20.4,29.6,49,,,
192,2017-06-24,22.5,19.8,28,59.7,,,
192,2017-06-25,23.1,18.1,28.1,27,,,
192,2017-06-26,23.4,16.2,30.1,31,,,
192,2017-06-27,20.4,16.8,24.6,61,,,
192,2017-06-28,21.3,17.7,25.7,47,,,
192,2017-06-29,21.6,18.4,25,61,,,
192,2017-06-30,23.5,19.4,29,58,,,
192,2017-07-01,23.9,22.2,25.5,79,,,
192,2017-07-02,23.7,22,26.2,71.9,,,
192,2017-07-03,21.4,20.1,23.7,80,,,
192,2017-07-04,23.8,20.3,27.9,75.4,,,
192,2017-07-05,26.5,24.5,29.7,65.5,,,
192,2017-07-06,26.4,23.8,30.3,59.5,,,
192,2017-07-07,25.9,22.4,31.1,56.1,,,
192,2017-07-08,25.5,22,30.9,52,,,
192,2017-07-09,25.6,20.7,32.8,43,,,
192,2017-07-10,26.2,21.7,31.3,53,,,
192,2017-07-11,24.4,22.9,27.7,65,,,
192,2017-07-12,24.2,22.6,26.9,75,,,
192,2017-07-13,25.8,22.1,30.2,57.1,,,
192,2017-07-14,26.7,21.7,33,36,,,
192,2017-07-15,25,22.1,30.2,39.5,,,
192,2017-07-16,22.1,20.5,23.8,68,,,
192,2017-07-17,24.4,18.8,30.7,49,,,
192,2017-07-18,24.3,19.2,30,48,,,
192,2017-07-19,24.7,21.2,30.6,49,,,
192,2017-07-20,24.5,19.4,30.5,49,,,
192,2017-07-21,24.3,20,30.1,49,,,
192,2017-07-22,24,20.6,28.9,56,,,
192,2017-07-23,25.2,20.3,30.9,49,,,
192,2017-07-24,27,20.6,32.5,53.8,,,
192,2017-07-25,28,24.5,33.4,52,,,
192,2017-07-26,28,23.4,32.7,56.6,,,
192,2017-07-27,28.6,25,32.9,49.3,,,
192,2017-07-28,28.7,26.4,32.5,58,,,
192,2017-07-29,28.6,25,34.1,50.8,,,
192,2017-07-30,29.1,24.4,35.2,41.8,,,
192,2017-07-31,28.4,23.8,35.2,42,,,
192,2017-08-01,26.8,23.3,34.2,45,,,
192,2017-08-02,25.9,20.4,33,51.3,,,
192,2017-08-03,26.1,22.4,31.3,50,,,
192,2017-08-04,27.1,23.2,32.4,51,,,
192,2017-08-05,27.7,22.5,33.7,43,,,
192,2017-08-06,28.3,23.2,34.9,39,,,
192,2017-08-07,28.2,22.8,34.4,41,,,
192,2017-08-08,27.5,23.4,36.2,37,,,
192,2017-08-09,27.4,23.4,33,50,,,
192,2017-08-10,29.1,23.5,35.3,44,,,
192,2017-08-11,29.9,24.4,37.5,34,,,
192,2017-08-12,30.5,24.9,36.4,40,,,
192,2017-08-13,29.9,24.6,36.5,40,,,
192,2017-08-14,29.8,23.6,37.2,34,,,
192,2017-08-15,27.7,25.1,34.6,45,,,
192,2017-08-16,27.1,24.5,33.9,45,,,
192,2017-08-17,26.8,23.4,34.1,44,,,
192,2017-08-18,27.2,22.5,33.8,42,,,
