날짜,시군구지역코드,발생건수(건)
20160101,36110,60
20160102,36110,172
20160103,36110,130
20160104,36110,47
20160105,36110,192
20160106,36110,140
20160107,36110,113
20160108,36110,139
20160109,36110,107
20160110,36110,121
20160111,36110,48
20160112,36110,171
20160113,36110,143
20160114,36110,122
20160115,36110,124
20160116,36110,126
20160117,36110,123
20160118,36110,37
20160119,36110,182
20160120,36110,123
20160121,36110,109
20160122,36110,147
20160123,36110,142
20160124,36110,126
20160125,36110,31
20160126,36110,185
20160127,36110,123
20160128,36110,102
20160129,36110,109
20160130,36110,117
20160131,36110,129
20160201,36110,66
20160202,36110,243
20160203,36110,154
20160204,36110,147
20160205,36110,166
20160206,36110,158
20160207,36110,147
20160208,36110,60
20160209,36110,243
20160210,36110,180
20160211,36110,144
20160212,36110,167
20160213,36110,184
20160214,36110,177
20160215,36110,61
20160216,36110,275
20160217,36110,233
20160218,36110,76
20160219,36110,24
20160220,36110,60
20160221,36110,171
20160222,36110,70
20160223,36110,255
20160224,36110,169
20160225,36110,159
20160226,36110,154
20160227,36110,183
20160228,36110,145
20160301,36110,53
20160302,36110,206
20160303,36110,144
20160304,36110,140
20160305,36110,142
20160306,36110,132
20160307,36110,163
20160308,36110,58
20160309,36110,209
20160310,36110,139
20160311,36110,132
20160312,36110,164
20160313,36110,140
20160314,36110,192
20160315,36110,71
20160316,36110,243
20160317,36110,190
20160318,36110,189
20160319,36110,204
20160320,36110,216
20160321,36110,205
20160322,36110,69
20160323,36110,328
20160324,36110,205
20160325,36110,209
20160326,36110,220
20160327,36110,211
20160328,36110,212
20160329,36110,93
20160330,36110,324
20160331,36110,211
20160401,36110,220
20160402,36110,220
20160403,36110,214
20160404,36110,224
20160405,36110,78
20160406,36110,259
20160407,36110,215
20160408,36110,191
20160409,36110,214
20160410,36110,208
20160411,36110,188
20160412,36110,112
20160413,36110,259
20160414,36110,229
20160415,36110,211
20160416,36110,197
20160417,36110,212
20160418,36110,176
20160419,36110,97
20160420,36110,289
20160421,36110,205
20160422,36110,206
20160423,36110,211
20160424,36110,207
20160425,36110,183
20160426,36110,101
20160427,36110,312
20160428,36110,244
20160429,36110,196
20160430,36110,189
20160501,36110,204
20160502,36110,171
20160503,36110,78
20160504,36110,333
20160505,36110,92
20160506,36110,256
20160507,36110,205
20160508,36110,195
20160509,36110,205
20160510,36110,75
20160511,36110,249
20160512,36110,195
20160513,36110,196
20160514,36110,153
20160515,36110,181
20160516,36110,158
20160517,36110,80
20160518,36110,225
20160519,36110,175
20160520,36110,176
20160521,36110,183
20160522,36110,228
20160523,36110,182
20160524,36110,69
20160525,36110,137
20160526,36110,237
20160527,36110,165
20160528,36110,179
20160529,36110,197
20160530,36110,201
20160531,36110,66
20160601,36110,259
20160602,36110,191
20160603,36110,175
20160604,36110,176
20160605,36110,156
20160606,36110,124
20160607,36110,47
20160608,36110,217
20160609,36110,133
20160610,36110,101
20160611,36110,119
20160612,36110,104
20160613,36110,73
20160614,36110,42
20160615,36110,160
20160616,36110,90
20160617,36110,96
20160618,36110,101
20160619,36110,101
20160620,36110,93
20160621,36110,27
20160622,36110,133
20160623,36110,101
20160624,36110,96
20160625,36110,117
20160626,36110,108
20160627,36110,97
20160628,36110,35
20160629,36110,143
20160630,36110,92
20160701,36110,117
20160702,36110,97
20160703,36110,115
20160704,36110,89
20160705,36110,38
20160706,36110,146
20160707,36110,109
20160708,36110,83
20160709,36110,113
20160710,36110,117
20160711,36110,112
20160712,36110,34
20160713,36110,140
20160714,36110,125
20160715,36110,89
20160716,36110,107
20160717,36110,111
20160718,36110,110
20160719,36110,48
20160720,36110,179
20160721,36110,106
20160722,36110,109
20160723,36110,112
20160724,36110,101
20160725,36110,123
20160726,36110,43
20160727,36110,178
20160728,36110,129
20160729,36110,103
20160730,36110,143
20160731,36110,105
20160801,36110,112
20160802,36110,49
20160803,36110,172
20160804,36110,142
20160805,36110,122
20160806,36110,130
20160807,36110,127
20160808,36110,107
20160809,36110,58
20160810,36110,184
20160811,36110,134
20160812,36110,128
20160813,36110,122
