날짜,시군구지역코드,발생건수(건)
20171220,36110,426
20171221,36110,348
20171222,36110,342
20171223,36110,356
20171224,36110,297
20171225,36110,124
20171226,36110,443
20171227,36110,347
20171228,36110,315
20171229,36110,316
20171230,36110,301
20171231,36110,252
