날짜,지점,발생건수(건)
20161027,강원,892
20161028,강원,960
20161029,강원,631
20161030,강원,60
20161031,강원,1312
20161101,강원,973
20161102,강원,872
20161103,강원,978
20161104,강원,1009
20161105,강원,735
20161106,강원,85
20161107,강원,1332
20161108,강원,960
20161109,강원,928
20161110,강원,955
20161111,강원,999
20161112,강원,688
20161113,강원,87
20161114,강원,1359
20161115,강원,943
20161116,강원,1014
20161117,강원,889
20161118,강원,985
20161119,강원,776
20161120,강원,87
20161121,강원,1421
20161122,강원,1091
20161123,강원,988
20161124,강원,938
20161125,강원,1132
20161126,강원,767
20161127,강원,89
20161128,강원,1493
20161129,강원,1048
20161130,강원,951
20161201,강원,1099
20161202,강원,1154
20161203,강원,777
20161204,강원,93
20161205,강원,1454
20161206,강원,1140
20161207,강원,998
20161208,강원,990
20161209,강원,1154
20161210,강원,801
20161211,강원,86
20161212,강원,1550
20161213,강원,1121
20161214,강원,910
20161215,강원,1056
20161216,강원,1217
20161217,강원,838
20161218,강원,96
20161219,강원,1705
20161220,강원,1230
20161221,강원,1165
20161222,강원,1111
20161223,강원,1312
20161224,강원,900
20161225,강원,75
20161226,강원,1602
20161227,강원,1080
20161228,강원,1136
20161229,강원,1101
20161230,강원,1266
20161231,강원,710
20170101,강원,182
20170102,강원,1433
20170103,강원,1055
20170104,강원,980
20170105,강원,940
20170106,강원,1060
20170107,강원,624
20170108,강원,60
20170109,강원,1399
20170110,강원,918
20170111,강원,883
20170112,강원,856
20170113,강원,992
20170114,강원,608
20170115,강원,55
20170116,강원,1276
20170117,강원,900
20170118,강원,892
20170119,강원,916
20170120,강원,722
20170121,강원,522
20170122,강원,49
20170123,강원,1251
20170124,강원,990
20170125,강원,991
20170126,강원,1155
20170127,강원,101
20170128,강원,32
20170129,강원,80
20170130,강원,216
20170131,강원,1125
20170201,강원,935
20170202,강원,861
20170203,강원,1008
20170204,강원,557
20170205,강원,69
20170206,강원,1234
20170207,강원,854
20170208,강원,863
20170209,강원,772
20170210,강원,816
20170211,강원,565
20170212,강원,59
20170213,강원,1160
20170214,강원,879
20170215,강원,827
20170216,강원,844
20170217,강원,916
20170218,강원,579
20170219,강원,72
20170220,강원,1279
20170221,강원,931
20170222,강원,813
20170223,강원,847
20170224,강원,901
